gene,log2FC_trt_vs_veh,detected,model,signature,compartment
Postn,-1.376,True,AAP01,matrisome_core,stroma(mouse)
Tnc,-1.91,True,AAP01,matrisome_core,stroma(mouse)
Sparc,-0.317,True,AAP01,matrisome_core,stroma(mouse)
Thbs1,-1.301,True,AAP01,matrisome_core,stroma(mouse)
Thbs2,-1.136,True,AAP01,matrisome_core,stroma(mouse)
Dcn,0.207,True,AAP01,matrisome_core,stroma(mouse)
Lum,0.633,True,AAP01,matrisome_core,stroma(mouse)
Bgn,-0.805,True,AAP01,matrisome_core,stroma(mouse)
Vcan,-0.593,True,AAP01,matrisome_core,stroma(mouse)
Hspg2,-0.519,True,AAP01,matrisome_core,stroma(mouse)
Dusp4,-0.183,True,AAP01,MAPK_targets,stroma(mouse)
Dusp6,-0.313,True,AAP01,MAPK_targets,stroma(mouse)
Spry2,0.57,True,AAP01,MAPK_targets,stroma(mouse)
Spry4,-0.334,True,AAP01,MAPK_targets,stroma(mouse)
Etv1,-0.722,True,AAP01,MAPK_targets,stroma(mouse)
Etv4,-1.077,True,AAP01,MAPK_targets,stroma(mouse)
Etv5,-0.11,True,AAP01,MAPK_targets,stroma(mouse)
Fosl1,-0.827,True,AAP01,MAPK_targets,stroma(mouse)
Ccnd1,-0.641,True,AAP01,MAPK_targets,stroma(mouse)
Dusp6,-0.313,True,AAP01,RASON_inhibition_PD,stroma(mouse)
Spry2,0.57,True,AAP01,RASON_inhibition_PD,stroma(mouse)
Spry4,-0.334,True,AAP01,RASON_inhibition_PD,stroma(mouse)
Etv4,-1.077,True,AAP01,RASON_inhibition_PD,stroma(mouse)
Etv5,-0.11,True,AAP01,RASON_inhibition_PD,stroma(mouse)
Fosl1,-0.827,True,AAP01,RASON_inhibition_PD,stroma(mouse)
Ccnd1,-0.641,True,AAP01,RASON_inhibition_PD,stroma(mouse)
DUSP4,-2.089,True,AAP01,MAPK_targets,tumor(human)
DUSP6,-0.494,True,AAP01,MAPK_targets,tumor(human)
SPRY2,-0.334,True,AAP01,MAPK_targets,tumor(human)
SPRY4,-1.409,True,AAP01,MAPK_targets,tumor(human)
ETV1,-0.418,True,AAP01,MAPK_targets,tumor(human)
ETV4,-0.944,True,AAP01,MAPK_targets,tumor(human)
ETV5,-0.355,True,AAP01,MAPK_targets,tumor(human)
FOSL1,-2.776,True,AAP01,MAPK_targets,tumor(human)
CCND1,-1.078,True,AAP01,MAPK_targets,tumor(human)
DUSP6,-0.494,True,AAP01,RASON_inhibition_PD,tumor(human)
SPRY2,-0.334,True,AAP01,RASON_inhibition_PD,tumor(human)
SPRY4,-1.409,True,AAP01,RASON_inhibition_PD,tumor(human)
ETV4,-0.944,True,AAP01,RASON_inhibition_PD,tumor(human)
ETV5,-0.355,True,AAP01,RASON_inhibition_PD,tumor(human)
FOSL1,-2.776,True,AAP01,RASON_inhibition_PD,tumor(human)
CCND1,-1.078,True,AAP01,RASON_inhibition_PD,tumor(human)
Acta2,-0.013,True,AAP16,myCAF,stroma(mouse)
Tagln,2.794,True,AAP16,myCAF,stroma(mouse)
Igfbp3,-0.576,True,AAP16,myCAF,stroma(mouse)
Thy1,1.955,True,AAP16,myCAF,stroma(mouse)
Col12a1,2.28,True,AAP16,myCAF,stroma(mouse)
Thbs2,-0.56,True,AAP16,myCAF,stroma(mouse)
Clec3b,1.811,True,AAP16,iCAF,stroma(mouse)
Il6,3.531,True,AAP16,iCAF,stroma(mouse)
Cxcl1,3.233,True,AAP16,iCAF,stroma(mouse)
Ly6c1,2.563,True,AAP16,iCAF,stroma(mouse)
Has1,0.64,True,AAP16,iCAF,stroma(mouse)
Col14a1,-1.359,True,AAP16,iCAF,stroma(mouse)
