gene,mean_parental,mean_resistant,log2FC,p_value,padj,n_parental,n_resistant
Ism1,0.2713922222508276,1.9146494205866038,1.6432571983357762,2.9052638261063358e-05,0.0032538954852390964,9,9
Arhgap26,2.5390751767215494,1.3823647236872578,-1.1567104530342915,2.8801973214872498e-05,0.0032538954852390964,9,9
Cmtm8,4.407671942578927,2.855420993100055,-1.5522509494788714,2.937101159692594e-05,0.0032630246432197724,9,9
Ak3,7.46198634509601,6.151850594032478,-1.310135751063532,3.035222381276903e-05,0.00330550320455105,9,9
Prkca,7.159154797615467,6.349415138578408,-0.8097396590370591,3.047320753324502e-05,0.00330550320455105,9,9
Hmgcr,7.544189952489036,6.202622018606793,-1.341567933882243,3.0052013676502676e-05,0.00330550320455105,9,9
Dcaf17,4.016718713058173,3.4304767526903412,-0.5862419603678322,3.0976200159644674e-05,0.003333813542181758,9,9
Parvb,6.277103870836168,7.081909390801062,0.8048055199648942,3.138039986899719e-05,0.003351134795312444,9,9
Nav1,4.560092100734647,5.618196290687306,1.058104189952659,3.314501969668622e-05,0.003366007911822472,9,9
Acy3,4.414126220299966,3.265415122475254,-1.1487110978247124,3.331285105655768e-05,0.003366007911822472,9,9
Eeig1,5.78697060291962,4.55434023140666,-1.2326303715129603,3.200878332823898e-05,0.003366007911822472,9,9
Zmat2,6.208345547624782,5.8315599713170965,-0.37678557630768594,3.1977658749035297e-05,0.003366007911822472,9,9
Scd2,11.337359020936798,9.854412355030039,-1.4829466659067592,3.2693685891470756e-05,0.003366007911822472,9,9
Cyp3a13,6.466441264559155,4.003926957124552,-2.4625143074346028,3.330531904249683e-05,0.003366007911822472,9,9
Ifitm3,2.5888284301381006,6.249546641564185,3.660718211426085,3.3377740593242205e-05,0.003366007911822472,9,9
Rab29,3.437131452945162,2.7188484545878553,-0.7182829983573069,3.3474381817630564e-05,0.003366007911822472,9,9
Add3,6.785244997529525,5.471844791241547,-1.3134002062879784,3.7874613030598896e-05,0.00369895094809263,9,9
Ppp1r13b,4.867990764029489,3.701363931789965,-1.1666268322395243,3.705520519775609e-05,0.00369895094809263,9,9
Asb13,4.062634715857651,3.0330743145607193,-1.0295604012969313,3.7762677605997715e-05,0.00369895094809263,9,9
Inpp5j,3.8700407807291453,1.713402957544596,-2.1566378231845493,3.7513669427535857e-05,0.00369895094809263,9,9
Ldhd,5.513863171226612,3.7534853784070026,-1.7603777928196096,3.812797870420684e-05,0.00369895094809263,9,9
N4bp3,3.81213352859909,4.703575403050226,0.8914418744511359,3.8980781576717235e-05,0.003729161437505949,9,9
Mospd1,4.295198992501584,3.6543530234081416,-0.6408459690934425,3.879621375509643e-05,0.003729161437505949,9,9
Foxd2os,1.635727172402315,2.961562347874456,1.3258351754721411,4.0417878574899453e-05,0.0038399772086056194,9,9
Aldh3b1,5.873324670645037,4.479878736743877,-1.3934459339011598,4.39100055406992e-05,0.004143179700881316,9,9
Itfg2,4.550303586198753,5.130878086813848,0.5805745006150946,4.581986007134869e-05,0.004293975458114963,9,9
Golph3l,6.029387819997321,4.877315308999041,-1.1520725109982806,4.7957648900017e-05,0.004404430474977562,9,9
Dmtn,0.3605419152500585,0.9609190602758702,0.6003771450258116,4.756142903745771e-05,0.004404430474977562,9,9
Chmp1b,5.1433812611704575,4.21254832999633,-0.9308329311741277,4.772680222858382e-05,0.004404430474977562,9,9
Acad11,3.923347450494243,2.9379360985473526,-0.9854113519468903,4.881924775112091e-05,0.0044538672650294145,9,9
