gene,GSM8332065,GSM8332066,GSM8332067,GSM8332068,GSM8332069,GSM8332070,GSM8332071,GSM8332072,GSM8332073,GSM8332074,GSM8332075,GSM8332076
RHCG,0.04668455182970297,0.3899514806769683,0.2568749200878178,0.37245137730036315,0.4391447480374072,0.28610983665073875,4.583515621120722,5.2616692549068285,6.518401537242409,3.78349356100989,3.3780149072260595,4.338712882311292
RHEB,139.7735481781307,131.56962958040907,123.68527402228428,142.11089218327191,143.38076023421348,148.26211735241282,237.93147115279237,249.49976558726564,213.01418601520606,234.77314590266565,229.28854610007022,234.82674105723024
RHEBL1,2.0541202805069307,1.8327719591817506,1.6696869805708159,1.8622568865018159,2.0310444596730086,1.144439346602955,3.0556770807471483,4.510002218491567,3.229299844138441,2.70249540072135,2.452531370999742,2.5837278962078476
RHEBP2,0.6068991737861387,0.6239223690831492,1.2201558704171347,1.3656550501013316,0.9880756830841662,1.0299954119426595,1.1164973948883812,1.4496435702294324,1.2558388282760604,1.3266795603541173,1.3419511275281608,1.1699899907356293
RHNO1,54.20076467428515,50.92766337641205,51.63185893765139,39.76953039840544,40.18174444542276,40.684818771735046,35.904205698778995,38.979304888391404,34.804676097936536,47.613055332708875,48.634159828693,49.82207377215888
RHOA,344.0184624330812,353.9979541585518,357.1203576520887,407.3376563074972,397.2064245998348,414.8592631435712,487.8505985454389,481.2279748135704,445.34436924627727,493.86875041182344,477.5495046927799,485.54584615528614
RHOB,181.83632937669307,171.38367575752753,171.4640091586184,222.18793830285,226.4340107067881,203.65298172799584,101.54249991405908,107.43469570478128,107.76293183587909,118.22188971155579,123.92224550070394,125.43267692344891
RHOBTB1,0.6068991737861387,0.5459320729477556,0.5137498401756356,3.558979827536804,3.074013236261851,4.406091484421377,1.410312498806376,1.5033340728305227,1.1960369793105339,0.5896353601573855,0.46274176811315887,0.7799933271570861
RHOBTB2,9.710386780578219,7.6430490212685775,8.669528552963852,12.249511964545277,12.46073222556143,10.986617727388369,3.290729163881544,3.3825016638686756,4.425336823448975,4.127447521101699,4.534869327508957,3.412470806312252
RHOBTB3,43.089841338815845,43.05064346673729,40.136706263721535,57.02644421332227,56.53988630981618,58.309184709420556,131.33535145134377,119.67613029782981,114.46073892001809,151.78196896051364,143.86641570638108,137.9125701579623
RHOC,217.59669607824554,225.6259267196938,215.51805795367915,176.7488702722057,187.07566266393547,177.50254265811833,98.60434887487914,112.48160294928373,100.88571920484351,107.70672578874908,107.4949127326868,109.88155996325452
RHOD,227.8206129289505,224.22210138925675,227.013210627609,198.6821180465604,201.56743934916992,185.8569498883199,32.08460934784506,36.2947797583369,33.13022432690178,37.343572809967746,31.97545617661928,35.92844263217329
RHOF,13.21172816780594,11.269597791564383,12.458433624259165,9.766502782542856,7.245888342617219,10.12828821743615,5.876302078359901,7.301908353748252,5.740977500690562,5.798081041547624,5.784272101414485,6.0449482854674175
RHOG,188.83901215114852,189.24345357253267,203.38071797952978,132.30300591436233,141.2399295875311,127.77665304821993,171.5880206881091,187.43354458040548,177.6712932765798,160.18427284275637,151.7792999411161,171.35478405982235
RHOH,0.0,0.0,0.0,0.041383486366707016,0.0,0.0,0.411341145485193,0.536905026010901,0.5980184896552669,1.3758158403672327,1.8046928956413195,1.5599866543141723
RHOQ,14.658949274526734,14.701170821521703,14.063901874808025,21.146961533387284,18.77343797859916,19.0549151209392,24.445416645977186,27.382156326555943,24.51875807586594,24.96123024666265,22.535524107110838,25.106035217868712
RHOT1,36.227212219849505,34.04276426309933,30.311240570362504,40.638583612106295,38.09580689224508,39.998155163773276,60.64343744867418,58.03943331177838,56.39314357449167,62.84530213677466,60.34152656195592,59.62073994456978
RHOT2,71.98757892140199,68.7484460433495,67.36544779303023,81.31855071057929,77.0150101870603,74.78911130050311,82.797096284091,79.6230153574166,82.82556081725446,100.09060238671617,81.07235777342544,83.26428767401895
RHOU,23.295591363021785,25.931773465018388,21.577493287376697,23.547203742656293,22.50616833691712,23.518228572690724,16.98251300646011,15.355483743911764,14.352443751726405,35.18157648939067,37.99109916209034,35.92844263217329
