gene,6419C5,6499C4,6694C2
4930526A20Rik,-0.19248533130401269,0.004114442981237754,-0.056731773205989544
4930550C14Rik,-0.21704860703896056,-0.17261123162418152,-0.01208109024509818
4930556M19Rik,-0.2262927074231722,0.08559625947990845,0.32104956346087654
4930558J18Rik,0.3736661398302854,0.15213108889668525,0.8304877299031272
4930577N17Rik,-0.3189974258559224,-0.5708654765754849,0.1300684326356174
4930579C12Rik,0.0,0.0,1.9981281439861058
4930579G18Rik,0.37559588953982476,-0.16148380787525984,0.20988143897539102
4930579G24Rik,0.6281077803168502,-0.14570091620519054,0.5199893074266946
4930581F22Rik,0.22475689937068122,-0.20870300193476243,0.4026475722889562
4931406C07Rik,-0.9171760088225458,-0.8761702672192557,-0.9990491082689372
4931414P19Rik,-0.19274401729459356,-0.28604112844995955,-0.33754887971876224
4931440P22Rik,-0.46561944618646345,-0.29020530835388114,0.7589909792834841
4933404O12Rik,1.1524707300389858,-0.13106741462371851,0.42649121900928977
4933407K13Rik,-0.05692206971316227,-0.09780295651799209,0.6873610471737279
4933412E12Rik,0.5938184486964992,-0.5465339165687944,1.2546711174189253
4933421A08Rik,-0.18795481034633027,0.9976987632599585,0.37073846447661607
4933421O10Rik,0.7936519397584809,-0.04808242426888598,1.2120218935624587
4933431E20Rik,-1.2345822370728852,-0.8896120697828627,-0.7606762812251553
4933431K14Rik,0.02461110494386659,-0.45046847181297667,0.7720359199863107
4933433G19Rik,-0.008182694482726571,0.0544705144530514,-0.46013901833294557
4933434E20Rik,-0.3659680092816724,-0.6552189028344615,0.873752361183556
4933439C10Rik,-0.04360904556292777,-0.3378409114019666,1.3192936595948295
4933440N22Rik,0.34174287089967537,0.35008542455608505,0.11689633316428594
5031425E22Rik,-0.1270684577089476,-0.6656034284420187,0.6556416258315334
5031434O11Rik,-0.43503915100239965,0.114371143302752,0.09800888853975787
5031439G07Rik,-0.06224945944723714,-0.17483544107872362,-0.06295887649226728
5033406O09Rik,-0.32311358487681097,0.33544668863186944,-0.10267983992050844
5033426O07Rik,0.0,-0.024071070595852454,3.4301739223825134
5033430I15Rik,0.646258296745147,-0.15984022105518636,0.6517343318721847
5330411J11Rik,0.12403134784941872,0.09120950899442759,-1.0575358703033733
5330438D12Rik,-0.10174399480513707,-0.28182234140951234,0.16461643272756027
5430405H02Rik,-0.1345148085391254,-0.06762034736476241,0.40598187003512354
5430416N02Rik,0.205121521068651,-0.188959256282619,1.1205144435052647
5430425K12Rik,0.2984905304636072,0.0575468135322551,0.29054099634279207
5430430B14Rik,0.049754088288472165,-0.05515789281365774,-0.22311322493282315
5530601H04Rik,0.04787079131121219,-0.3083406327433913,0.39792910414901783
5730409E04Rik,0.3692619430547064,-0.16614492896764577,1.8985504583297985
5730419F03Rik,-0.7916321409850897,0.30328156205957746,-0.14901650077580852
5730455P16Rik,0.07861195780085062,-0.1448206201420139,0.027639517608412767
5730471H19Rik,1.4556962558894413,0.29067587278329254,-0.38627486093329677
5730480H06Rik,-0.36611547940217193,-0.7498037821169925,0.15820148189561678
5730507C01Rik,-1.3266793309642564,-1.1423135753153844,0.022528271012221834
5830408C22Rik,0.6911078362929413,-0.08486375238016164,0.7694891370046716
5830417I10Rik,-0.04763311600220099,-0.2809760694916097,0.029941680331823317
5830448L01Rik,-0.3639995837171369,-0.1317670877084598,0.46123093907656526
5930403N24Rik,0.06182581485015359,-0.28643021522119266,-0.3372000236711049
5930420M18Rik,-0.01216419799693047,-0.7166819953609811,0.47153719102796077
5930430L01Rik,0.9692129049750091,-0.6932814206006319,0.3561650246585061
6030445D17Rik,-0.10676226095623143,-0.35025889499640916,0.23501561766438894
6030458C11Rik,-0.2099653258756895,0.1882633597788832,-0.1398716639771771
6330403L08Rik,1.239218866443248,-0.9216130998539594,1.7774664150877315
6330549D23Rik,-0.7225973471536375,0.040726378848878975,0.3485220883544419
6330562C20Rik,-0.2930150251742195,-0.033916154686709055,0.19965664459321403
6430548M08Rik,1.0054523448471475,0.6626182399662228,0.2865661132935844
6720427I07Rik,0.07596342452078442,-0.3729967980310095,0.742766533406664
6820431F20Rik,0.6637677184720463,0.18313507387245354,0.28538284030349104
7330423F06Rik,0.6126515621273034,1.9412494735894488,1.0047871844940348
8430422M14Rik,-0.3424518379905805,-0.14827488108138243,0.6500350247468134
8430429K09Rik,-0.06045669439875301,-0.0631880839600325,0.4810975776281128
9030407P20Rik,-0.3464147748595565,-0.039768846859215,0.4389474372190926
9030622O22Rik,-1.1248203154912013,0.20514142319074846,-1.3462207918812015
9130008F23Rik,-1.1271224340245154,-0.11060191332485658,-1.0805509788870062
9130019O22Rik,-0.5892617630165202,-0.18707453328954404,-0.22275786261042652
9130023H24Rik,-0.3791972923611939,0.10428725812310091,0.4033866237168686
9130221H12Rik,-0.4073808513129751,-0.34651247266861185,-0.16239856076681491
9130230L23Rik,-0.9966347413688623,-0.43453110787718463,-0.8589699779189159
9130401M01Rik,0.5039847229824534,-0.006121658468202451,0.8266317376704977
9130604C24Rik,0.1297788888907383,-0.24266276459841896,0.4355784792693199
9230102K24Rik,-0.4041522456212128,-1.1824324220281417,0.022528271012221834
9230111E07Rik,0.6006584569323652,0.13368383832564468,-0.3740551332673174
9230112E08Rik,-0.13606464262574192,-0.15134702227829488,0.278850989991827
9230112J17Rik,-0.4284984490359295,0.18543249051663846,-0.21172718279320712
9230116N13Rik,-0.33332828142475557,0.09174284453953796,0.013675973511521722
9330102E08Rik,0.4996211417261379,0.5440652134206144,-0.1515866803001944
9330104G04Rik,-0.4033691595519615,-0.18931897034020012,0.46101196573888636
9330151L19Rik,-0.36870872344584416,-0.2784719857830924,0.9698673864710998
9330159M07Rik,0.28385804713855944,-0.3232506185166864,0.8316698770341313
9330162G02Rik,0.05293987619591234,-0.08955405151516582,0.72965314724252
9330188P03Rik,0.8930159799832682,0.24022550742741555,0.741695634096672
9430002A10Rik,-0.02426718125478733,0.15838214658830463,0.29980217046006274
9430015G10Rik,0.7486749625175917,0.267165543976148,1.2566947759773681
9430018G01Rik,0.29962802198373795,-0.2859338706990142,0.2189726622349677
9430038I01Rik,-0.29286268860661346,-0.583743797529428,-0.2969262080230539
9430081H08Rik,0.07627422172119547,-0.2420375904595109,0.2995248297199474
9430091E24Rik,0.2894002569304661,0.014067597525139863,-0.09468081936974015
