gene,PANC-1,Panc02.03
ADAMTS10,0.05117602623784667,0.8121404534394393
ADAMTS13,-0.3365116458602186,0.21069387867670475
ADAMTS15,-0.4321713142561876,1.2815785818149168
ADAMTS16,0.3079138915426427,0.0
ADAMTS3,-0.4782970315510987,0.033926515076895786
ADAMTS6,-0.05747444662176458,1.4278288742336378
ADAMTS7,0.2628197290849649,0.484423555625213
ADAMTSL4,-0.2449098682555899,2.197266202403911
ADAMTSL5,-0.1788956173492373,0.2612285078010341
ADAP1,0.33830713746971663,0.13592553188517176
ADAP2,0.03315849877544119,0.22503119911310865
ADAR,-0.0018814732889467223,0.7641540665726945
ADARB1,-0.28385147177541015,0.6272593977372916
ADAT1,0.08923821027268364,0.24105232144247601
ADAT2,-0.1484015982172786,0.5035682114523838
ADAT3,-0.10259468881134293,0.23595382263463982
ADCK1,-0.13546427700889518,0.32463114772723367
ADCK2,-0.05875326875912101,-0.5329407582808408
ADCK5,0.3146214043341242,-0.4008799783252419
ADCY1,0.5036000680275874,0.007302627182211505
ADCY10P1,-0.16738980157288608,0.2658550472606094
ADCY3,0.040346839437488846,0.7285134710714201
ADCY5,-0.29662320540244436,0.004578696261759774
ADCY6,-0.45028801249749595,0.0028101983192208024
ADCY7,-0.12604445650871732,0.8916910548832857
ADCY9,-0.8027416969738637,0.2528949351668217
ADD1,-0.009323530177256956,0.39232240457584044
ADD3,-0.2803830801654348,-0.5744670796279179
ADGRA2,0.12002506084278242,1.728476039787421
ADGRA3,-0.07454581276625305,0.6707142480182435
ADGRB1,-0.024906153488122307,-0.08679247946427893
ADGRB2,-0.33856051812520427,1.3353013526142368
ADGRE5,0.024653306894300897,0.6480872012272307
ADGRF1,0.6386217654037566,-0.4023189543820944
ADGRF4,0.15027734440973467,0.36233138499738526
ADGRG1,1.6519138069191044,0.23169055565402452
ADGRG2,0.8344247846563331,-0.048138090844500436
ADGRG5,0.0,-0.4965696013435481
ADGRG6,0.6857868905859705,1.1508878148731343
ADGRL1,-0.25726534282724955,0.8261219941173952
ADGRL2,-0.34472366428368595,2.3271058684841215
ADGRL3,0.20642038341621682,1.6802427749921505
ADH1C,0.0,-0.3015964892623726
ADH5,-0.01205958933790452,0.08497238671697271
ADH5P4,-0.13862036515292508,0.03779954416450615
ADI1,0.11423605335936404,-0.1868584838713696
ADIPOR1,0.12542865113714807,-0.12317012250201742
ADIPOR2,0.03474095658941678,0.4908399365260401
ADIRF-AS1,0.5520502795683245,0.7417974339738429
ADISSP,0.024295906419529167,-0.28622501734923045
ADK,-0.07467510236280805,-0.22116382219913078
ADM,-0.38251949831380117,0.7863214764899613
ADM2,-0.4536013498710023,0.15045032745233566
ADM5,-0.3378982566936015,-0.5626727831318505
ADNP,-0.04683954787825417,0.1231825530559938
ADNP2,0.24355187747114826,0.3119534583109722
ADO,-0.2889274040809786,0.2979370085706199
ADORA1,0.23561759170876595,1.5029164199255027
ADORA2B,0.19570302868943568,-0.6690041793046007
ADPGK,0.1724315019011433,-0.038500814379972326
ADPRH,-0.5610449215142621,-0.20805679803893096
ADPRHL1,0.611599130146756,0.20606551252316585
ADPRM,0.2631981914956767,0.0520591885818078
ADPRS,0.1379345937226253,-0.03539801280357935
ADRA1B,-0.5877341890729859,-0.5138393090444451
ADRA1D,0.6976742101114348,0.6924933470387756
ADRA2C,-0.32886150440122686,0.7826173076260603
ADRB1,-0.43368520644439545,1.0715519467585588
ADRB2,0.05177600846938857,1.1853108179926166
ADRM1,0.044770344794127226,0.011869110992143383
ADSL,0.12938118392522036,-0.3040314518535008
ADSS1,-0.03630746815775554,0.043912878653912024
ADSS2,0.22329800923716192,0.14996251014349582
ADTRP,-0.004310612493881573,1.0171336454732072
AEBP2,0.13450371601609845,-0.02301060017990242
AEN,0.20661908420619568,0.24754399926264758
AFAP1,-0.4932206938278849,0.5587316052250397
AFAP1-AS1,-0.13639773471009597,-0.42038408891389345
AFAP1L1,-0.6068367457650199,-0.20552706229315532
AFAP1L2,-0.5922314113963507,0.3189203690851721
AFDN,0.14211506065462842,0.6937163435641924
AFF1,0.17794512222850933,0.7056376717845501
AFF3,2.167429661105081,0.0
AFF4,0.09056323111714804,0.5966235869522052
AFG1L,0.09364926457860134,0.8546809301120157
AFG2A,0.08520259343538061,-0.18016206103901977
AFG2B,-0.23272187072786377,0.1533742303290806
AFG3L1P,0.3753165956932736,-0.1359886123756957
AFG3L2,-0.014928883189574194,0.20024613785327894
AFMID,0.17215033204109353,-0.48871141532417894
AFTPH,0.08796426683224112,0.0702790220187346
AGA,0.711938609111074,0.07781445007726306
AGAP1,-0.3846365527994813,0.20341823761354583
AGAP2,0.07534821021685306,-0.40748559587176403
AGAP3,-0.12140925266583658,-0.13959812157459517
AGAP4,-0.36772588196337574,0.04358617394452646
AGAP6,-0.3226224504166919,-0.17338405470137763
AGAP7P,-0.2676055657235761,-0.027794278512683013
AGAP9,-0.2116452925029586,-0.3175559768113009
AGBL2,0.08231372888111399,-0.28447061686743713
AGBL3,0.595178896501649,0.07223800021454863
AGBL5,-0.03624968331793621,0.09312410251545344
AGER,0.08065455012952105,0.10294907093471584
AGFG1,0.07567102032448858,0.17196255369499713
AGFG2,-0.3078326009542236,0.1420186871452147
AGGF1,0.08274792809941589,0.3409054860863989
AGK,0.03527189712180334,-0.12491810698575545
AGL,0.10962816317461765,0.17098520614988466
AGMAT,0.005309998929002635,-0.4641599855989623
AGO1,-0.008812018657596177,0.22083556460294762
AGO2,0.010567545354467356,0.2861774368193828
AGO3,-0.07262490467103078,0.26857775697836583
AGO4,-0.3864740010223695,0.5646299777032047
AGPAT1,0.18845813321173122,0.545791475343691
AGPAT2,0.15005042380242983,-0.5084512366405916
AGPAT3,0.014838901816156103,-0.08868811918033614
AGPAT4,0.12485314954590176,0.7056470071065037
AGPAT5,0.16759431689939053,0.02594752501285491
AGPS,0.1524305470534557,0.07646508247255923
AGR2,-0.2857742000886123,-1.3025199147710556
AGR3,0.0,-1.6477583627995913
AGRN,0.17030775376229457,0.6084860535067325
AGT,0.04464373241082215,1.2641331926508539
AGTPBP1,0.5259866163076459,1.592803351514673
AGTRAP,0.10148160870712086,0.03678035638978816
AGXT,0.017280043738908353,0.4181651835533079
AHCTF1,0.11591177655929297,0.2732816394386335
AHCTF1P1,-0.2112797325137148,-0.012816981601146749
AHCY,-0.15525809962531412,-0.04559862028846151
AHCYL1,0.34848955085358124,0.45895978653626024
AHCYL2,-0.3578101960650315,0.46343815332523475
AHDC1,0.49887765681477436,0.3787407162759884
AHI1,0.4240671096534969,0.5165801983705931
AHNAK,-0.6921067350292329,-0.4766907817718522
AHNAK2,-0.2000142657717845,1.4371042447596682
AHR,0.44430861115760933,0.4076931523767211
AHRR,0.12884504057626867,0.807289584317573
AHSA1,-0.07332514830875247,-0.278914710985954
AHSA2P,0.25449073709274117,-0.10994289904429744
AIDA,0.28248716915857486,0.6497801044732974
AIF1L,-0.37121721318821166,-0.5734725218461847
AIFM1,0.052845351107490224,0.25240586135087195
AIFM2,-0.08771529134929779,0.21095011088806181
AIFM3,0.26620187218572433,-0.3951263747615561
AIG1,0.6171638280296516,-0.27826379664134304
AIMP1,0.1294766078540821,-0.23605500185612982
AIMP2,-0.19501709451578542,-0.056329903496106226
AIP,-0.1923761981517007,-0.4005837603016005
AIRIM,0.19435628115369497,-0.06359022144484561
AJM1,-0.08579222789830165,0.2176248700380783
