gene,GSM8332077,GSM8332078,GSM8332079,GSM8332080,GSM8332081,GSM8332082,GSM8332083,GSM8332084,GSM8332085,GSM8332086,GSM8332087,GSM8332088,GSM8332089,GSM8332090,GSM8332091,GSM8332092,GSM8332093,GSM8332094
1110046J04Rik,3.5982698821967065,3.9766306265652633,3.271178221149639,8.393147699927416,6.778432819772295,7.850184565689323,1.0216539555887025,1.6938329237080714,1.0468144389807377,1.3998528637985743,1.0472758169043994,1.2937764011246855,0.39477035306230135,1.533020914621083,0.4193287929809392,1.5439688795503026,0.6456812436055545,2.917969553581459
1110059E24Rik,38.82649276112252,42.94761076690484,36.52815680283764,38.36867519966818,44.7157906981753,25.748605375460983,30.615563535808118,42.499807903947975,45.01302087617172,31.78832544875929,19.898240521183585,33.58193528136684,23.742616948461265,30.222412316815635,23.010667514829038,33.16871075723581,32.04926900078479,29.94971527912081
1110059G10Rik,9.982297092545704,11.379281485248292,10.631329218736326,10.839150743906263,12.900888269889206,6.437151343865246,8.27539704026849,6.724003424416889,8.474212125082163,4.724503415320188,6.96130395942336,4.500091829998906,7.613428237630097,6.8985941157948725,8.805904652599724,7.027720417263446,5.635036307830294,8.916018080387792
1110065P20Rik,6.732246876368031,7.219114060533862,6.215238620184315,11.030994119904603,14.048848666786128,13.188310070358064,7.900790589885967,8.212523266463377,10.169054550098595,7.932499561525254,6.4684682808801135,6.300128561998469,5.6395764723185895,5.694077682878309,5.294026011384357,6.2291158243926,8.863442525858066,11.874514988880104
1300002E11Rik,1.6830617190920079,1.7130101160588826,1.9627069326897835,0.9592168799917047,2.131926451379996,1.9363788595366997,1.8049219882067078,2.258443898277428,1.9939322647252147,0.9915624451906567,1.4169025758118343,2.13754361924948,3.158162824498411,2.901789588389907,3.0925498482344267,1.1712867362105743,1.0565693077181801,1.3779300669690224
1500002C15Rik,1.3348420530729719,0.91768399074583,1.0358731033640525,4.508319335961012,5.575807642070759,3.558750336445827,0.8513782963239188,0.2566413520769805,0.49848306618130367,0.4666176212661914,0.12320891963581168,0.16875344362495898,1.0151237650173461,0.4380059756060237,1.5200668745559045,0.9583255114450153,1.1739658974646445,2.1074224553643868
1500004A13Rik,0.6384027210348996,0.06117893271638866,0.7632749182682491,1.4388253199875571,1.4212843009199974,0.47101107394135944,1.5665360652360105,1.591176382877279,1.34590427868952,1.1665440531654785,1.6017159552655518,0.8437672181247949,0.5075618825086731,1.2045164329165652,0.8386575859618784,1.650449491933082,1.2326641923378767,0.9321291629496328
1500011B03Rik,11.549285589631365,13.826438793903838,12.921153973541074,23.74061777979469,29.35498729207841,20.30581074324972,19.002763573949867,18.32419253829641,19.0420531281258,5.657738657852571,5.975632602336867,7.312649223748222,13.816962357180545,14.235194207195772,12.789528185918646,14.37488267167523,12.502736807998463,18.723637968814362
1500015A07Rik,0.6384027210348996,0.7341471925966639,1.1449123774023737,1.870472915983824,2.186591232184611,1.9363788595366997,1.0216539555887025,0.975237137892526,0.9969661323626073,1.0498896478489306,0.9856713570864934,1.012520661749754,1.184311059186904,1.5877716615718358,1.1531541806975827,1.9166510228900306,1.7022505513237345,1.4589847767907296
1600012H06Rik,30.93351366469104,28.509382645837114,29.98580036053836,25.754973227777274,26.73107781345687,17.584413427144085,28.470090229071843,33.41470404042286,31.902916235603435,30.03850936901107,19.775031601547774,29.86935952161774,28.47986118520888,26.06135554855841,33.59871953759775,24.863222991379008,24.653283846757535,33.151376317078245
1600014C10Rik,14.741299194805864,11.012207888949959,14.502223447096734,15.779117675863542,15.579462529315355,11.251931210821363,17.4021723768609,18.580833890373388,17.247514089873107,18.956340863939026,15.524323874112271,20.531668974370007,30.622900244689944,22.666809237611727,37.42509477354883,17.729021961732787,17.37469528247674,24.843268560353255
1600020E01Rik,5.4554414342982325,3.5483780975505423,6.106199346145993,6.570635627943177,6.559773696553834,7.902519129460586,3.4055131852956753,2.8230548728467855,3.1404433169422132,2.041452093039587,3.6962675890743504,2.8688085416243028,1.9738517653115066,1.6972731554733418,2.358724460517783,3.9930229643542305,3.8153891667600948,2.3505865848295087
1700001G11Rik,0.8125125540444176,0.42825252901472066,0.9268338293257311,0.623490971994608,0.765306931264614,1.0990258391965053,0.408661582235481,0.4619544337385649,0.44863475956317334,0.3499632159496436,0.369626758907435,0.3937580351249043,0.5075618825086731,0.2737537347537648,0.2096643964904696,0.21296122476555898,0.2347931794929289,0.4863282589302432
1700001K19Rik,0.34821966601903614,0.5506103944474979,0.27259818509580325,1.3429036319883865,0.21865912321846112,1.5177023493666026,1.3281501422653135,1.129221949138714,0.8972695191263467,0.816580837215835,0.6160445981790584,0.16875344362495898,0.5639576472318589,0.4380059756060237,0.6289931894714088,0.26620153095694876,0.4695863589858578,0.3242188392868288
1700001L05Rik,2.5536108841395984,1.5294733179097166,2.562422939900551,1.6786295399854831,1.3666195201153821,0.994356711653981,0.7151577689120918,1.2318784899695063,1.6449941183983021,1.1665440531654785,0.8008579776327759,1.6312832883746033,4.286078118962129,4.106306021306472,5.451274308752209,0.8518448990622359,0.9978710128449478,0.9321291629496328
1700003E16Rik,1.1607322200634538,1.4682943851933279,1.253951651440695,1.822512071984239,1.5852786433338433,1.988713423307962,0.8513782963239188,0.513282704153961,1.34590427868952,0.3499632159496436,0.73925351781487,0.33750688724991795,1.0715195297405322,0.38325522865527073,0.9959058833297306,1.1712867362105743,0.6456812436055545,5.025392008945846
1700003F12Rik,1.6830617190920079,1.5906522506261052,1.3629909254790162,0.5755301279950228,0.2733239040230764,0.680349329026408,1.7368117245007944,1.488519842046487,1.9939322647252147,0.3499632159496436,1.3552981159939286,0.7312649223748222,0.8459364708477884,0.4380059756060237,1.310402478065435,1.1180464300191846,1.0565693077181801,4.2148449107287735
1700007L15Rik,0.9866223870539357,1.1623997216113846,1.090392740383213,2.493963887978432,1.9679321089661501,2.826066443648157,1.4303155378241836,2.3611004391082204,1.4954491985439111,1.63316167443167,0.6160445981790584,1.2937764011246855,3.496537412837526,2.3542821188823773,2.4111405596404003,1.5972091857416921,1.3500607820843413,2.4721686495620694
1700008J07Rik,0.5803661100317269,1.0400418561786073,0.8177945552874097,0.9112560359921195,1.3666195201153821,1.5177023493666026,2.3838592297069727,2.3097721686928243,1.5452975051620415,0.6415992292410132,1.4169025758118343,1.1250229574997266,0.8459364708477884,1.314017926818071,1.5200668745559045,1.4907285733589128,1.760948846196967,1.6210941964341439
