gene,mean_parental,mean_resistant,log2FC,p_value,padj,n_parental,n_resistant
KIF7,2.919776491119747,2.3940545768594617,-0.5257219142602851,0.0003825078598843999,0.058312526348002,6,6
M6PR,6.358471397275561,6.707931353889318,0.3494599566137575,0.0004094911351261922,0.061178978394433745,6,6
UTP25,5.031855950281655,5.326397728165495,0.29454177788383973,0.0004096713278206018,0.061178978394433745,6,6
AHDC1,5.727813988632242,6.166623175177623,0.4388091865453809,0.0004262394618361281,0.06176252003932411,6,6
ZNF512,3.44617491026256,2.4516197070343346,-0.9945552032282254,0.0004261145287756917,0.06176252003932411,6,6
NAV1,4.3767723356566215,4.895580291144177,0.5188079554875555,0.00042265509311348526,0.06176252003932411,6,6
ERCC4,3.9544181885357528,4.330422527851681,0.37600433931592825,0.00044921644880829945,0.06445375223832807,6,6
IQCN,1.265771805950829,2.0703410219181553,0.8045692159673263,0.00046101800239451286,0.06550483946644364,6,6
CUL7,5.230441149498147,5.940584222835405,0.7101430733372576,0.0004715530181510187,0.06620758074713194,6,6
NADSYN1,5.7703986342453035,5.429867283975692,-0.3405313502696119,0.000479535603634847,0.06620758074713194,6,6
GPNMB,0.8686350669085948,2.000680680844462,1.1320456139358672,0.00047903657779786333,0.06620758074713194,6,6
GPRIN2,2.700068344743121,3.187047357314242,0.48697901257112086,0.000502875888552523,0.06878120213987078,6,6
CDYL2,0.6446351424768575,2.4535123883884777,1.8088772459116202,0.0005085478794528429,0.06891294644252183,6,6
POLK,3.9640118086724154,4.392449427286223,0.4284376186138079,0.0005214294572607723,0.07001027621111379,6,6
ZNF346,3.983298261487535,4.331921836725532,0.3486235752379967,0.0005474101719173983,0.07283043514555568,6,6
ZNHIT2,4.431161649941941,4.027257824535019,-0.40390382540692205,0.0005628473936173725,0.0741036603794091,6,6
TSPYL2,4.170449949560809,4.575251934614095,0.404801985053286,0.0005732245472005484,0.0741036603794091,6,6
ZNF462,4.13099505898358,4.7527346716766585,0.6217396126930783,0.0005738255602763224,0.0741036603794091,6,6
PLEKHM2,6.33507517173388,6.520470634524329,0.18539546279044838,0.000577233842381458,0.0741036603794091,6,6
AGPAT1,5.19415183743742,5.561276641715129,0.36712480427770977,0.0005864949682688918,0.07463785965752374,6,6
OSBPL1A,5.878743484246928,5.59593644247457,-0.28280704177235805,0.000605320852439248,0.0757168433799008,6,6
GBA1,5.996685129499125,6.339764257856785,0.34307912835766086,0.0006038936048064041,0.0757168433799008,6,6
TMEM106A,1.5258681468003115,2.0108405694931224,0.48497242269281093,0.0006115360986852928,0.07584602376490898,6,6
RFT1,4.384834123588617,4.665878018242715,0.28104389465409785,0.0006187147527746946,0.07609151602401391,6,6
NDUFA3,6.091159536734377,5.710922556453913,-0.38023698028046393,0.0006255189756855614,0.07628725174298492,6,6
PRICKLE1,2.2791363793801325,3.6201077707727727,1.3409713913926402,0.0006308319156450429,0.07629938087161324,6,6
HYKK,2.802858967226524,2.1637065540558567,-0.6391524131706672,0.0006681030229084449,0.07998259408413551,6,6
AMOT,3.172053883391392,2.0190120429684555,-1.1530418404229366,0.0006735476792318702,0.07998259408413551,6,6
ZNF853,2.0425811742468483,1.0165280373490488,-1.0260531368977994,0.0006776796492267034,0.07998259408413551,6,6
NRGN,2.2982140386140544,1.7457349594093816,-0.5524790792046728,0.0006983870997740476,0.08006845438752658,6,6
TAB2,6.339468567347193,6.70273378178353,0.3632652144363364,0.0006986585671346407,0.08006845438752658,6,6
SLAIN2,5.7547903395305875,6.058809688456094,0.3040193489255065,0.0007002912307211071,0.08006845438752658,6,6
LSM14B,5.735222471157396,5.982100833309288,0.24687836215189218,0.0006924532683569201,0.08006845438752658,6,6
CCDC122,1.7657965453500764,2.534727423616195,0.7689308782661188,0.0007179928091746898,0.08082942124824297,6,6
STC1,0.9787214304774038,2.9657355374741887,1.987014106996785,0.0007161575914807242,0.08082942124824297,6,6
SDCBP,7.214530980637505,7.604878410739789,0.3903474301022838,0.000737868553624356,0.08243287238391184,6,6
ATF6,5.8064182931420385,6.190261521819822,0.3838432286777831,0.0007800313641581776,0.08648302283677976,6,6
IGF2BP3,5.489536726114641,6.09912195585132,0.6095852297366795,0.0008158760424150447,0.08910705881152373,6,6
LYPD6B,0.3164180955879317,0.8212924258934203,0.5048743303054886,0.0008157667809843232,0.08910705881152373,6,6
PSEN2,4.704108862471091,5.075260320500509,0.3711514580294182,0.0008657640806992644,0.09016285297110228,6,6
FCGBP,1.6051576318003977,3.292949983543782,1.6877923517433844,0.0008399021555124628,0.09016285297110228,6,6
ERF,6.159881128964963,6.412368017475224,0.25248688851026113,0.0008482296662568334,0.09016285297110228,6,6
PPM1H,4.896140025629863,4.006837708631976,-0.8893023169978864,0.0008478224983247136,0.09016285297110228,6,6
DISP1,2.9491824237487756,3.4374277901583814,0.4882453664096058,0.0008537210604796315,0.09016285297110228,6,6
FNDC3B,6.8590962969906935,7.312615289011817,0.4535189920211238,0.0008686684160523008,0.09016285297110228,6,6
RGCC,2.169330412605919,3.0642488065699847,0.8949183939640655,0.000865289669756952,0.09016285297110228,6,6
KCTD1,6.002238750769167,5.744776132515614,-0.25746261825355266,0.0008833407985622104,0.09104008864054894,6,6
SUSD3,3.40313270053669,2.04519168564514,-1.3579410148915496,0.000906238753392819,0.09124040818017858,6,6
PAPOLA,7.264061435165458,7.48945006547753,0.22538863031207157,0.0008938495134922638,0.09124040818017858,6,6
VAPB,6.273934269817285,6.435450036228912,0.16151576641162713,0.0009102220426584265,0.09124040818017858,6,6
ZNF589,2.2215125175190185,1.8313959854515225,-0.39011653206749597,0.0009003589276173428,0.09124040818017858,6,6
MEIS3,2.4479738629829004,3.0059632022266687,0.5579893392437683,0.0009221955122905745,0.09181177770321468,6,6
MRPS18B,6.794781790410433,6.9322725500262665,0.1374907596158339,0.000948410525334127,0.09192045058453609,6,6
NT5E,7.698410283387485,8.826466123675877,1.1280558402883916,0.0009331346566142729,0.09192045058453609,6,6
PPP4R3A,5.891508177016267,6.240569228519448,0.34906105150318023,0.0009418383088532458,0.09192045058453609,6,6
SDHAP4,3.622173329984438,4.055173543856055,0.43300021387161713,0.0009477331643302748,0.09192045058453609,6,6
LAMP1,7.986916453035067,8.450860296290339,0.4639438432552714,0.000976180317436081,0.0939894667478753,6,6
ZDHHC2,3.9654706904638215,4.427189286423423,0.4617185959596015,0.0010071014161160607,0.09633287075070947,6,6
YWHAZ,9.918699124881442,10.111418266090622,0.19271914120917977,0.0010308100983630684,0.09732842444866778,6,6
BLZF1,4.38282036023417,4.806206072469693,0.4233857122355227,0.0010264927892269596,0.09732842444866778,6,6
MBOAT1,3.300797680595252,2.6656834399783045,-0.6351142406169474,0.0010670569905221854,0.10010499395059091,6,6
SERPINI1,1.5922593002165844,2.111693816041378,0.5194345158247935,0.0011244881106885535,0.10482091401227377,6,6
AARS2,4.103872941734296,4.602503599305494,0.49863065757119784,0.0011528918490102463,0.10611680635386765,6,6
ECEL1P1,1.1134120910317304,0.33199938768936693,-0.7814127033423635,0.001147432004890423,0.10611680635386765,6,6
SH3BP2,5.619132844330099,6.080580252843151,0.46144740851305244,0.001160567679573011,0.10615567494094387,6,6
GORAB,2.9156915404037753,3.215685398060758,0.2999938576569825,0.001212963924529348,0.11025917413345968,6,6
RFK,5.151071798579234,5.651428555037763,0.5003567564585296,0.0012371192709297748,0.1117607440126991,6,6
UBLCP1,5.193097569571697,5.51784116934368,0.32474359977198297,0.001272238564525458,0.11422829074742379,6,6
CELSR1,5.783462317936024,6.3864276988320015,0.6029653808959772,0.0012940023213451925,0.11547392666394447,6,6
FGFR4,3.150283318339202,3.7076658385378294,0.5573825201986273,0.0013736789123760297,0.11907092290201618,6,6
PPP1R35,3.599235502017086,3.1214532534606616,-0.47778224855642426,0.001343687076500397,0.11907092290201618,6,6
PAM,6.553636547042714,7.194478433937793,0.6408418868950791,0.0013607844106602203,0.11907092290201618,6,6
ANXA2,11.206754701142126,10.829711800389509,-0.3770429007526168,0.0013749905002009384,0.11907092290201618,6,6
NFE2L1,8.30535358495037,8.495890538643492,0.1905369536931225,0.0013739533974723352,0.11907092290201618,6,6
ERCC1,6.216547920783223,6.528913155095595,0.31236523431237195,0.0013973610628591764,0.1202963479702591,6,6
PUS3,4.215106893667855,3.89957828478833,-0.31552860887952505,0.001417060842218229,0.1205737524759522,6,6
COMMD6,5.066809374176471,5.361875373773047,0.2950659995965754,0.001409567429815627,0.1205737524759522,6,6
SERINC1,7.475190483658012,7.858655920360458,0.3834654367024459,0.0014327638908084885,0.12120519966463716,6,6
MICU1,6.253169929753785,5.923720587244042,-0.32944934250974267,0.0014481200155602998,0.12159345027676388,6,6
PLEC,10.423045691633108,10.100638039361598,-0.3224076522715098,0.0014539701946316146,0.12159345027676388,6,6
LHFPL2,5.1084634290219695,5.56725135658073,0.4587879275587605,0.001469331606594993,0.12217993217339615,6,6
NAV3,1.377532030943443,2.2539764168325975,0.8764443858891546,0.0014851885660756379,0.12280076081648,6,6
LINC00857,4.1451264573526645,3.7147443575524832,-0.4303820998001813,0.0015112390639498647,0.12425271742082172,6,6
HAGHL,4.83192405804783,4.498831362025664,-0.33309269602216673,0.0015365166337577391,0.1256252566203604,6,6
SET,9.194783302116202,9.35613078695958,0.1613474848433789,0.0015552811268237088,0.1264529960614721,6,6
ZNF200,3.523449679318814,3.831367999490529,0.3079183201717153,0.001584093290940952,0.12808400725370625,6,6
KCTD12,1.1088254267913549,2.497613119385421,1.388787692594066,0.0015988137674670861,0.12856395322461983,6,6
CASP6,3.799136285685113,3.5746866945548437,-0.22444959113026952,0.0016230344787154162,0.1297984130928968,6,6
GPATCH2L,4.452515110711459,4.905825335692261,0.4533102249808021,0.0016955268118287441,0.13340878973717027,6,6
S100A4,8.68990635670855,6.974682276885488,-1.7152240798230611,0.001683689363174626,0.13340878973717027,6,6
NFIB,4.261850245995629,4.848525718442279,0.5866754724466503,0.0016922514206182309,0.13340878973717027,6,6
RPLP1,10.35343262164522,9.99693414849238,-0.3564984731528398,0.0017119590451232197,0.13398139371860063,6,6
ATF3,3.9018277337663636,4.487351359162961,0.5855236253965974,0.0017393821166817672,0.13513020442621385,6,6
NR2F2-AS1,0.49925460650740305,1.1241815351417352,0.6249269286343322,0.0017451047923849959,0.13513020442621385,6,6
ADAM17,5.370558853005271,5.8905056910988245,0.5199468380935537,0.0017609687695041701,0.1356409365352291,6,6
MTR,5.060998126932047,5.4027298099048515,0.34173168297280476,0.0018842737673960917,0.14190967075941952,6,6
PGRMC1,6.886607447612179,7.024899458124184,0.13829201051200535,0.0018582489458879553,0.14190967075941952,6,6
TXNRD1,8.097025922412278,9.005854965532846,0.9088290431205674,0.0018869687025087113,0.14190967075941952,6,6
ZRANB2,4.888463961163564,5.222597769649108,0.33413380848554475,0.0018739933293878983,0.14190967075941952,6,6
NNMT,0.6039502985875261,0.9885624447079536,0.3846121461204275,0.0018908360640988592,0.14190967075941952,6,6
TPK1,1.249946588673917,2.1844016560751034,0.9344550674011864,0.001901346939495908,0.14197047173225824,6,6
CCDC113,2.0480888621624462,2.66419061610555,0.616101753943104,0.001928226854974133,0.14324670062206313,6,6
ITGA2,7.358201765098936,8.285867004417087,0.9276652393181504,0.001953938131139768,0.144423659339548,6,6
GTPBP2,5.148420028699805,5.57943654483753,0.43101651613772507,0.002037412398891951,0.1468713189310425,6,6
DCTN2,7.124978682984768,7.241016196722163,0.11603751373739524,0.0020360822811155694,0.1468713189310425,6,6
ADRA1D,0.4731314164508795,1.1682151950259847,0.6950837785751052,0.002043625836425681,0.1468713189310425,6,6
B3GNT5,4.632384014787285,5.367586408542429,0.7352023937551442,0.0020164644692286155,0.1468713189310425,6,6
SYNGR3,3.6792964850140737,3.2639864313784828,-0.4153100536355909,0.002047266762004282,0.1468713189310425,6,6
RAB3GAP2,5.447821246155603,5.937461462037483,0.48964021588188,0.0020417659521851767,0.1468713189310425,6,6
RHBDL1,2.014000325011027,1.5891137261514663,-0.4248865988595609,0.0020582472913363544,0.1469387761400368,6,6
RHOG,7.547619257283915,7.206097573246725,-0.34152168403718974,0.002141862122914545,0.15109165169912622,6,6
ANK2,1.0284503256114046,2.272989351717876,1.2445390261064715,0.0021386150672924073,0.15109165169912622,6,6
GLB1L2,4.997480412660319,3.9108348338116095,-1.0866455788487093,0.0021473907450234543,0.15109165169912622,6,6
HIF1A,6.510178979890874,7.480191547817941,0.9700125679270668,0.0021843696505288975,0.15295813318416465,6,6
PHF3,5.973594042408096,6.468783012972438,0.4951889705643424,0.002232433227487343,0.15338807645200594,6,6
NUDT5,5.453039078696083,5.024254715077826,-0.42878436361825667,0.002222475434260459,0.15338807645200594,6,6
SHMT2,7.000365679944898,7.212792831568329,0.21242715162343107,0.002203545245409052,0.15338807645200594,6,6
B3GNT9,3.8963988003715255,4.495633691281758,0.5992348909102323,0.00222293091485805,0.15338807645200594,6,6
COX8A,5.369527855726442,4.88921961530859,-0.4803082404178527,0.0022514205011901506,0.1539698085743825,6,6
ARHGAP5,5.12756497455977,5.850549785498355,0.722984810938585,0.0023515490012956677,0.1566814510943084,6,6
CCDC32,2.7764901173747165,2.4841982253762778,-0.29229189199843875,0.002315532588365437,0.1566814510943084,6,6
