,H358_RMC-Resistant_Control_3,H358_RMC-Resistant_Control_2,H358_RMC-Resistant_MUC1_Silencing_1,H358_RMC-Resistant_MUC1_Silencing_2,H358_RMC-Resistant_Control_1,H358_RMC-Resistant_MUC1_Silencing_3
TMCC1,1.241687412,1.206663824,1.867143105,1.891400554,1.16696253,1.806438061
TMCC1-AS1,1.795897323,1.773359726,1.198503181,1.289942376,1.73931049,1.171375918
TMCC2,0.532176201,0.473166003,0.67912299,0.638114622,0.379436368,0.567449606
TMCC3,0.754557029,0.622484948,0.345719134,0.416887258,0.694636114,0.416766292
TMCO1,29.08832733,29.08960947,33.13021945,29.93580504,26.16747685,26.80822565
TMCO2,0.0,0.06992697,0.014356669,0.05006279,0.054139516,0.044316515
TMCO3,5.40540424,5.198024094,5.002580947,5.544279794,6.059269873,5.139885791
TMCO4,0.597085116,0.565728814,1.017121544,1.053495914,0.766993113,1.028930226
TMCO5A,0.040396695,0.003046785,0.012519215,0.01827142,0.023617587,0.022579734
TMCO5B,0.0,0.0,0.0,0.0,0.0,0.011734462
TMCO6,5.029425408,4.088802519,3.906238421,3.989387091,4.268545317,3.689949937
TMED1,2.542744625,2.436857811,2.858366657,3.340854558,2.911727869,3.176946599
TMED10,38.82121096,38.13123666,36.74433006,39.22775142,40.03717189,37.01857581
TMED10P1,0.049867531,0.046793765,0.049789824,0.08825227,0.060463944,0.061944696
TMED11P,0.0,0.0,0.0,0.124186701,0.0,0.027569389
TMED2,193.8972088,185.7840327,194.2007893,171.511563,169.139031,160.7927485
TMED3,3.463719243,3.605736975,3.449271854,3.663194016,3.181627119,3.273774879
TMED4,10.50889545,9.912233916,11.30578591,11.10881811,10.6619715,10.10242162
TMED5,13.89112622,14.06787216,17.90740586,17.05172918,14.00934356,16.05617869
TMED6,0.245608644,0.174161978,0.178833582,0.115686231,0.124912435,0.132981506
TMED7,27.38660726,26.76352556,29.99549844,27.16646604,25.55478495,25.68157685
TMED7-TICAM2,0.0,0.0,0.0,0.0,0.0,0.0
TMED8,5.20357966,5.016706761,7.453244787,7.333300781,5.145133007,6.907158491
TMED9,17.61361982,16.94808253,18.1448393,20.74327456,17.27031691,19.21782752
TMEFF1,0.015749654,0.008552341,0.0,0.010258546,0.018415591,0.021128025
TMEFF2,0.002517302,0.005693928,0.0,0.001367082,0.0,0.0
TMEM100,0.042864773,0.068636886,0.027589847,0.007158683,0.073253581,0.0
TMEM101,2.321097719,2.37651064,2.613979666,2.858229658,2.464426652,2.667314278
TMEM102,0.082774427,0.098758635,0.202894698,0.14293283,0.092389305,0.155021316
TMEM104,3.227439259,2.959483199,4.562094158,4.197146912,2.977778195,4.105843624
TMEM105,0.0,0.0,0.006364232,0.0,0.0,0.010933584
TMEM106A,0.66371619,0.561521602,0.526144876,0.380091812,0.608596275,0.426904148
TMEM106B,6.816403104,6.544836545,5.322457655,4.604692348,5.861146597,4.19013315
TMEM106C,32.58308796,32.15477124,20.50189818,19.79348199,27.734999,18.62491757
TMEM107,2.282055963,1.941366662,1.930544113,1.759315554,2.263714202,1.753268708
TMEM108,1.247149842,1.151105291,0.848730996,0.877057241,0.977669351,0.825264663
TMEM108-AS1,0.0,0.00917166,0.0,0.0,0.0,0.0
TMEM109,25.26383803,23.42009926,31.67620967,30.06646914,20.93895788,28.26779771
TMEM11,8.487807149,7.625562959,12.95770578,13.64256062,7.55125022,12.57835024
TMEM110-MUSTN1,0.0,0.0,0.0,0.0,0.0,0.0
TMEM114,0.0,0.0,0.0,0.0,0.0,0.0
TMEM115,7.609439405,7.078327136,9.815858335,10.54756202,8.68265067,9.84040836
TMEM116,2.809356678,2.612704643,3.020236955,2.862090875,3.052373791,2.730815546
TMEM117,0.446728342,0.418125779,1.075033219,0.947908466,0.304443275,0.870814097
TMEM119,0.0,0.007788348,0.008000791,0.018686524,0.0,0.0
TMEM120A,4.064027034,3.775171819,2.530457944,3.078990797,4.073686592,2.511566383
TMEM120B,1.12459813,1.007060919,1.462555309,1.617686819,1.013797743,1.398705927
TMEM121,0.329371065,0.31404856,0.200085666,0.266887097,0.195142256,0.29455134
TMEM121B,0.008677774,0.018320372,0.02016601,0.018849737,0.015218597,0.019403225
TMEM123,98.5000872,95.96365818,93.4438008,83.65511728,89.21777469,79.36426081
