gene,mean_DOXminus,mean_DOXplus_MUC1kd,log2FC,p_value,padj,n_DOXminus,n_DOXplus_MUC1kd
TBC1D13,2.632944168964878,3.0752231901545475,0.44227902118966966,1.0505318971101202e-05,0.0034740191524940674,3,3
LRRC15,0.5628563715014959,0.13703523278125931,-0.42582113872023664,1.3253670847049403e-05,0.0034740191524940674,3,3
NOTCH3,0.48790505482360924,0.06452501942986326,-0.42338003539374597,1.405442961035246e-05,0.0034740191524940674,3,3
METTL7A,2.6292381114675965,0.7653749531904749,-1.8638631582771215,1.3609365694889357e-05,0.0034740191524940674,3,3
FAM109A,0.9214641465395527,1.2589153552352774,0.33745120869572476,1.1484575254972835e-05,0.0034740191524940674,3,3
ABL2,2.850717455590086,3.914063605924556,1.0633461503344699,1.2258297244124193e-05,0.0034740191524940674,3,3
EFNB2,1.894570930519965,3.3129952083456105,1.4184242778256455,1.0917119656663908e-05,0.0034740191524940674,3,3
STK10,2.1465066001648725,3.1953267377291916,1.0488201375643191,1.381561643975442e-05,0.0034740191524940674,3,3
ARRDC4,1.7502212654378226,0.9131694720685299,-0.8370517933692927,1.1864896215660095e-05,0.0034740191524940674,3,3
EPHA2,4.344654189966922,5.572658413059462,1.2280042230925394,1.2797602342981638e-05,0.0034740191524940674,3,3
EPB41L4B,1.2614647777292352,1.976839413332215,0.7153746356029798,1.1748539906389924e-05,0.0034740191524940674,3,3
FOXP2,0.2745419112535773,0.12591095481681933,-0.14863095643675797,1.4120323515823045e-05,0.0034740191524940674,3,3
ZNF542P,3.9537291652215516,5.29964918806754,1.3459200228459882,1.1531586942387642e-05,0.0034740191524940674,3,3
CA12,1.440818646391233,0.21898430058156304,-1.2218343458096699,1.1693290681902827e-05,0.0034740191524940674,3,3
CPEB4,1.2051944699637476,2.0488956178466906,0.843701147882943,1.3714658405740928e-05,0.0034740191524940674,3,3
FSTL3,1.2968591029693208,1.9049047241162842,0.6080456211469634,1.3477370573117385e-05,0.0034740191524940674,3,3
RNF126,3.4185063675316147,4.0958424089985614,0.6773360414669467,1.2904252151640134e-05,0.0034740191524940674,3,3
LBH,2.645082997477124,1.6418859855544508,-1.0031970119226732,1.1741562966555819e-05,0.0034740191524940674,3,3
CHST11,1.9828086962132474,3.458717945835305,1.4759092496220574,1.5028207945738605e-05,0.0035196338755854595,3,3
L1CAM,1.5787279513360717,1.0142183725974265,-0.5645095787386452,1.5005469361895168e-05,0.0035196338755854595,3,3
ABCG1,0.5813017888304666,0.0859522636587144,-0.4953495251717522,1.492868296519997e-05,0.0035196338755854595,3,3
ITGA2,1.9785847391996139,3.197976637447107,1.219391898247493,1.4642090892819402e-05,0.0035196338755854595,3,3
IRAK2,1.8466345190550097,3.2232078306731466,1.376573311618137,1.4902799357245025e-05,0.0035196338755854595,3,3
CTSH,2.3299345216824356,1.9215455102871868,-0.40838901139524886,1.5273662259771563e-05,0.0035272043415066393,3,3
ITPRIP,0.5447437265400326,1.1671668924735508,0.6224231659335182,1.5336872528487816e-05,0.0035272043415066393,3,3
SLCO4A1,3.509514152696388,4.4590553495607175,0.9495411968643297,1.5918973211148814e-05,0.0036283888226268475,3,3
TNS3,3.6304465649911943,2.8584330051315034,-0.7720135598596909,1.7790955526644114e-05,0.0036791720475664452,3,3
VDR,1.9503265063663318,2.692363959428068,0.7420374530617362,1.6774411181606537e-05,0.0036791720475664452,3,3
HBEGF,2.784429462937771,4.549421812968153,1.764992350030382,1.817673808577266e-05,0.0036791720475664452,3,3
SEMA3B,2.508428279929578,1.6110759024741335,-0.8973523774554446,1.73690415648656e-05,0.0036791720475664452,3,3
PDE4DIP,1.0871505911561599,1.531239712904453,0.4440891217482932,1.6627918583649594e-05,0.0036791720475664452,3,3
SH3PXD2B,3.010753551483983,2.333795782924908,-0.6769577685590753,1.7900674090166114e-05,0.0036791720475664452,3,3
MERTK,1.456497222241392,2.3284530178887946,0.8719557956474024,1.7197565128329978e-05,0.0036791720475664452,3,3
PIP4K2C,2.42773630127981,3.369981836002262,0.9422455347224523,1.6768761011251204e-05,0.0036791720475664452,3,3
SH2D3A,1.3148808306099604,2.6165877598849847,1.3017069292750243,1.7391352599560728e-05,0.0036791720475664452,3,3
NIPAL1,0.5340508128421236,1.217421100380091,0.6833702875379674,1.7802727389195886e-05,0.0036791720475664452,3,3
PCDHB15,1.694314689546566,1.0733388547915983,-0.6209758347549676,1.7925512561411533e-05,0.0036791720475664452,3,3
