gene,otx_log2FC,reversed
KRT8,-1.2571716751962736,0
FAAP100,-0.6797966330980394,0
TRNP1,-0.8161583800725491,0
KLHL13,-1.2837485235921187,0
C8orf46,-2.4768117445766458,0
C16orf45,-0.6913521497565451,0
KIFC3,-1.733249745173361,0
SPRY1,-1.402499660483162,0
EEPD1,-0.4363563303869622,0
NHSL1,-0.9513148031939691,0
STAC,-0.6833217473972386,0
ANK1,-1.6289851900640082,0
ITPRIP,-0.8953680918400977,0
ACOX2,-2.7337195111668224,0
GAB2,-0.703906543977256,0
GJB2,-4.733514550879783,0
B3GNT7,-3.4576570318938042,0
FUZ,0.32292768567331187,1
GNA15,-1.828418321767546,0
TNFRSF21,-0.08930401018455214,0
HTR1D,-0.6442294020944557,0
TBC1D8B,-0.5999713900945389,0
KRT81,-2.5027549623966756,0
CACNG8,-1.7963853300797004,0
PRKG2,0.10651773020869282,1
SYTL5,-2.0073342112163717,0
ZNF772,-0.8110384216443238,0
TBC1D4,0.028106042659525876,1
ANKH,-0.08926101894163896,0
SP2-AS1,-1.0566106685014556,0
TMEM51-AS1,-2.7392702497841044,0
RASGRF2,-2.0160786953962964,0
SLC20A1,-0.7817123264044454,0
RAB42,-0.9300992909625427,0
CITED4,-0.9061503541565745,0
PLXNA2,-1.6303337064990089,0
TNIK,-0.26891325667205557,0
KLF12,-0.929663556033602,0
KMO,-2.8639426576552798,0
NLGN1,0.6093265070516853,1
BEGAIN,-2.304849309235526,0
IL6R,-0.5791143582829728,0
DNER,-1.0099193208179855,0
TMEM246,-0.42698199051070596,0
TSPAN5,-0.1492512592020816,0
P3H2,-0.3916667597467356,0
PAPL,-5.263038281495426,0
NGFRAP1,-0.057677921779214714,0
ZFPM2-AS1,0.614819911259681,1
HAS3,-1.6323968326970553,0
EFNB2,1.6845155496928887,1
DENND2D,-2.5659905924730126,0
LOXL4,-1.2776945123521055,0
SYN3,0.0,0
IGDCC4,-2.602910893883676,0
ITGB5,0.20367573118909554,1
PHF19,-1.209062297853805,0
MAML3,-0.4000948531509465,0
GALNT18,0.19114030771315793,1
ALDH1A3,-0.8368637865622439,0
FOXA2,-1.3835038262070825,0
PLIN4,-1.8759354670682353,0
CNTNAP3,-0.8021949949184854,0
KRT19,-2.0955686571078225,0
EML6,-0.3434761578632797,0
MXD1,0.7935230191703999,1
ARHGAP18,-0.296183066733434,0
DOCK4,0.5419797933298458,1
ZNF843,0.08357881078389706,1
TEAD2,-0.4183198249167486,0
KCNE3,-0.666915318763726,0
HSPG2,-0.7203252305509054,0
OSR1,-1.0253897429768521,0
IL27RA,-0.731595248659163,0
DUSP1,-0.25950282440775396,0
PHC2,-0.3043562746329105,0
SLA,0.0,0
SLC1A7,-0.34369369618769235,0
ARHGEF6,-1.5956900983399684,0
INHBB,-2.7689945212694904,0
LXN,-3.2587956813045,0
SCNN1A,-0.9710685651462088,0
SGIP1,-0.33830870345983405,0
RET,-2.01517813988285,0
ADAMTS1,-0.333872107654126,0
STX1A,-0.18385465219383335,0
CYP1A1,-1.6054568575385262,0
AQP7P3,-0.7718635933002083,0
TIAM1,-2.44448116607145,0
AFAP1L2,-0.475221896999674,0
TSPAN15,-1.2692146889249312,0
HDAC7,-1.348981373940262,0
KCNQ5,-2.636978505843583,0
SCUBE3,-1.856253556004615,0
EYA1,-0.972357869684761,0
MSX1,-0.6436478893402171,0
LAMA4,-1.3108512217920287,0
SOGA3,-3.19913755921689,0
ZNF496,-0.42124779663550793,0
RRAD,-1.4864680739344145,0
PTGER4,-0.6624522277132057,0
TPCN1,-0.07875522081051223,0
SOBP,-0.22897198516310446,0
SORL1,-1.2635798777229468,0
PNPO,-0.5070883187387825,0
KIRREL,-0.8721458240618372,0
WNT5A,-1.8090584328399353,0
CYP4V2,-1.3979993649746043,0
ENG,-2.337435621723974,0
STEAP2,-0.9946551128289087,0
ZNF747,-0.8339687981143573,0
TSPAN1,-4.2261126075981315,0
DHRS3,-1.333417225922033,0
DKK1,-4.731660567442531,0
FAM95B1,-0.8988871119672956,0
ERGIC1,-0.7920210605213569,0
PLEKHG6,-1.6032785870745825,0
RAP2B,0.08217045745955076,1
TRIM46,-2.164064477347994,0
PON3,-1.6668171414370108,0
HAS2,-3.9099929179704658,0
MEST,-1.043676063888591,0
WLS,-1.6083144737878516,0
DACT2,-2.8474540302981874,0
P3H3,-0.7265860884152202,0
PRRT3,-0.1355569313632179,0
ARMCX1,-0.22023952046451445,0
MOCS1,-1.490411700318325,0
STMN3,-2.7376472301972603,0
DCBLD1,0.33112589832935946,1
FAM198B,-3.1978083354779647,0
CAMK1D,-2.2957830475583236,0
ZNF561-AS1,0.011287182415861352,1
TGFBR2,-1.0356733433592815,0
WSCD1,-0.02112624634146698,0
GJA1,-1.4231502338567372,0
HMGA2,-1.0919824022869573,0
PRUNE2,-2.192828071411631,0
PITPNC1,-0.6043351708392724,0
PRKCDBP,-0.8428301198620618,0
CACNA2D1,-0.6608153104820271,0
C3orf52,-0.4110772989944831,0
CDK15,-1.6340377522373801,0
EFCAB2,0.34993171707927573,1
RGS17,-1.167639947050855,0
FERMT1,-1.6802046881663597,0
ISL2,-0.6670358549618757,0
FAM46C,0.5718088154529877,1
SPRY4,-0.3615945313920452,0
STRA6,-1.930236878141461,0
FLI1,-3.095352259618799,0
TNFRSF10D,0.19024957003368037,1
SPATA31A7,0.0,0
PLA2G7,0.0,0
MALL,-1.1439291312336533,0
PGF,-0.7258155134705744,0
URAHP,-1.1399585377212436,0
TCEAL3,-0.39081437542976705,0
TM4SF18,-3.658462722193918,0
SH2D2A,-2.000856858809107,0
IGFBP4,-0.8947542219986566,0
EPAS1,0.024004191557562393,1
CPNE4,0.0,0
ZMYND12,0.8633677540287783,1
GAMT,-0.37817062232408816,0
LMTK3,-0.9245573561464546,0
KAZALD1,-2.0564034539928926,0
SSFA2,-0.03260998772798196,0
RAB27B,-1.946728479577652,0
ABLIM1,-0.8948553633918586,0
DUSP6,-1.3821210271012987,0
UBASH3B,-1.5493527442235377,0
FOSL1,-0.57741129894662,0
ADGRF5,0.0,0
PDE6B,-0.9620516875673832,0
NRROS,-2.5014389905564194,0
CACNA2D4,0.0,0
CTHRC1,-1.7023861242641103,0
CD59,-0.33412343250095944,0
LRRC56,-0.5740183931790641,0
DENND3,-0.2916606202660281,0
NAV3,-3.3451220222046096,0
ITPKB,-3.73318662112363,0
GALNT1,0.49539230945604196,1
CTF1,-0.28910462976785745,0
KCNN4,-1.4573319546821475,0
MT1L,-1.0563546204519305,0
VSIG1,-0.5290529257624004,0
F12,-1.8696905828855543,0
GRK5,0.14390391733677887,1
SDR16C5,-1.969680952303421,0
GALNT16,-2.3125010905148637,0
FOXQ1,-1.6373410945293303,0
B3GALT1,0.6665086648392679,1
FRAT1,-0.7164966976944784,0
CEACAM6,0.0,0
CAMK2A,-1.823427279750466,0
PRR34-AS1,-1.433958812495547,0
SYT9,-1.3908593192806407,0
UGT8,-0.9700530094072868,0
CTGF,-0.13309364062461704,0
ZNF503-AS2,-1.3836368835627753,0
ZADH2,-0.4646016121591927,0
SYT17,-1.5685023769811632,0
DPF1,-1.1248959876601416,0
MAMLD1,-0.3192467068232965,0
CHMP4C,-0.7542492176711049,0
ARMCX4,-0.6987271839875033,0
NRIP3,0.5958128022871296,1
SPTSSB,0.0,0
PODN,0.0,0
LAMC2,-1.9164161517107976,0
DNMBP,-0.2169956429475004,0
CHST15,-0.3212324231142105,0
TM4SF1,-1.1152318940804715,0
ROR1,-0.640522455440351,0
TRIML2,-3.2185538695490346,0
CLEC2B,-3.121896944427655,0
RAPGEF3,-2.420268140946738,0
SPATA13,0.1725203627684202,1
LOC100129034,-0.6641069940143067,0
PEAR1,-2.558584221975632,0
CARD11,-0.8625237144843853,0
NRP2,-1.3416562279752133,0
PPP1R14A,-0.02760934312857799,0
AFF3,-1.6932967691264231,0
LAMB1,-1.379998047668808,0
ASPH,0.29164751689078017,1
EPS8,0.4218849152110504,1
ATE1-AS1,-0.6098509451906984,0
SFXN3,-0.281215006195918,0
F2,-0.8593239921351261,0
FZD7,-0.4585345882694174,0
MX2,-0.5567282311183952,0
NAV2,-1.0404952099454912,0
SPRED2,-0.11301894162822812,0
EOMES,-2.5551240419617205,0
SNHG24,-1.5193756343283829,0
BCAM,-0.7887383761825468,0
B3GNT3,-0.5285893563304142,0
CCNJL,-0.7043565661534803,0
PLEKHA7,-1.4244502955320502,0
KCNJ6,0.0,0
MORC2-AS1,0.33296077481698627,1
SHB,-0.2856518459978563,0
ELL2,0.04937069217384682,1
MIR31HG,-0.21768601254733078,0
TTN,1.8550177976501998,1
ZBTB20,-0.7070891445951104,0
KRT75,-0.8619175142637229,0
LMCD1,-0.2946441344121844,0
PRDM8,-1.6810581721433302,0
CAPN8,-0.24580248333154509,0
SVIL,-1.0375044522719001,0
ATG4A,0.24704619033769504,1
TRAM2,0.024749404045843804,1
PEG10,1.1921084050086286,1
DNAJA4,1.0749413701174282,1
HNF4G,-1.9058430471540762,0
SVIP,-0.2553739616002435,0
TFF3,-0.6667080929835173,0
CPED1,-0.5918507721615921,0
SLC9A5,-1.830484287189051,0
TGFB1,-0.005430438509579361,0
THEM6,0.03653756547498688,1
PREX1,-0.3989329197170921,0
CFAP58,-1.71218289178687,0
LOC254896,-2.4642804234846256,0
HEG1,-0.603087240051952,0
TSPY26P,-0.7639147023450068,0
CAT,-0.07547025803852137,0
KCNS3,-1.27716522748742,0
TGM2,-1.2152997028384664,0
SLC38A2,0.3662433931613087,1
EVA1C,-1.1377152347123078,0
NRIP1,-0.21734527712054152,0
COL22A1,-1.7918591263189023,0
SV2A,0.18892509547289515,1
PYGB,-0.02941482769210424,0
AHR,-0.12506856497257957,0
SLC35F3,-0.4129494030207752,0
PAQR5,-1.119895201564928,0
NNT-AS1,-1.072096088382315,0
ABCC3,-0.9919626655109868,0
DYNC1I1,-1.4581141732861123,0
CASP4,-1.6542596508662673,0
CD99L2,-0.5764958554110216,0
MPP1,0.23199755787732101,1
C10orf91,-3.1580052904172256,0
ETS2,-0.5926823939866619,0
STEAP3,-1.1153852922052323,0
ANKRD35,0.0,0
ME3,-0.8926710022902204,0
HAAO,-0.7231596628740369,0
RASL11A,-0.48716341773158156,0
S100A2,-2.5812734242482622,0
ELK3,-0.4529856682285107,0
CCDC68,-1.6390613954152813,0
IL1RL1,0.0,0
ADRB2,1.2213661360601518,1
LOC100507334,-0.5893327690278669,0
RGL1,0.09735817230641164,1
PRKCQ-AS1,-1.2323251284787777,0
PRTFDC1,-0.44302260453601816,0
COL6A3,-2.5167028514759435,0
ATOH8,-1.9244634713317703,0
PLB1,-1.1670716593815014,0
FAM86DP,-0.6960246462621509,0
CYP2B6,0.0,0
OPN3,-0.5014878693487939,0
PLCE1,-0.2342277885880062,0
SRPX2,-0.17124206644795814,0
NETO2,0.16237920125937677,1
DEAF1,-0.9154606667646199,0
TGFB1I1,-2.927900487192481,0
CDKN2AIP,0.15498980650765937,1
PLEKHA5,-0.6179434479157901,0
ZNF185,-1.873208517910732,0
EFEMP2,-1.3321961223372858,0
KIAA1462,-0.8776580206387585,0
PEX11B,-0.46411321937018,0
HOXB-AS3,-1.0903577889338303,0
EFHD2,-0.8291017934687517,0
CNTNAP3P2,-0.7584009141572361,0
FAM3C,0.06898470936718581,1
SUMO3,0.5930829432295965,1
TSC22D1,-0.2845733472404941,0
TCN2,-1.4417368597837812,0
BTBD11,-0.6213764425268207,0
SYNJ2,0.09655639067389998,1
WNT11,-2.000616177540185,0
GLIS1,-1.2520466480091592,0
COL23A1,-2.7424619553849467,0
BACH2,-0.0012196271015660898,0
ETV5,0.05498733966054559,1
FRMD5,-0.13987878492626926,0
SAMD13,-1.4645086702638976,0
SYT1,-1.4700311879954384,0
WWTR1,-0.3606912725949023,0
SMAD5-AS1,-0.47205337650326296,0
F2RL1,-2.1584569258792587,0
ARHGEF37,-1.187524674895057,0
HTR7,1.2444931001234532,1
RXFP4,-0.8618325641866198,0
B3GALNT1,-1.1739451588204384,0
IFFO2,-0.21479714688613072,0
CTSC,0.18310165229833153,1
MAST4,-0.20012765382918918,0
C15orf52,-2.7226063290631197,0
IL31RA,-1.8377681385135576,0
KRT18,-0.5954819066323296,0
LOC101927934,-2.695295391043076,0
MEX3A,-1.3665718941245206,0
MYH15,-1.8592082897916562,0
LIPH,0.2517027955208988,1
SPOCK2,-1.2851100792428491,0
KAT6B,-0.6728312423955849,0
BANK1,-0.9353135583941015,0
NCEH1,0.09813413181817232,1
PLAC8,-1.611018361677064,0
ODF3L2,-0.003277562330460171,0
GRB10,-0.9291216767320343,0
RNF208,-1.960805644290721,0
BATF3,-3.4956608303414116,0
SYT11,-1.2860783139326077,0
CUX2,-0.8622936725508634,0
NCKAP5,-0.49361046661667435,0
CERKL,-1.3454574953503626,0
SYNE1,-2.4065477126476207,0
LNP1,0.5885559899884019,1
SMIM10,-0.11513419794590085,0
PRDX2,-2.5295274109851764,0
ARNTL2,-0.17718559366638864,0
CCDC178,0.0,0
DHX32,-0.15775552462271847,0
IFIT2,-1.8113933727589675,0
MIR100HG,0.29597623985625354,1
IFI16,-1.2106434777761126,0
LINC01002,-0.809794153037025,0
BCL2A1,-2.592979408141245,0
BCAT1,-2.1425473365503267,0
RAB38,-1.194681687910599,0
PARP8,-0.9497689971396897,0
STEAP1,-1.3520339056557606,0
PRKCA,-0.24486533071289074,0
EML4,-0.32967885744612424,0
IER3,-0.46496329853948026,0
NUDT16P1,-0.35394573611188096,0
SOD3,0.0,0
GPR39,-1.6479882889896897,0
MBP,-0.5684929307896276,0
FAR2P2,-0.2886437560567181,0
THBS1,-3.6405801589880977,0
IQCJ-SCHIP1,-1.4933101870550844,0
SPOCK1,-1.6709483457890517,0
RCSD1,-1.464652134424571,0
ZNF629,-1.0637300687458584,0
ADAMTS3,-0.10768498278447658,0
TXNDC2,-1.0044649366322442,0
MYRIP,-0.6711173157179257,0
SOX21-AS1,-2.184357732707058,0
IRAK2,-0.6404252499678762,0
DSEL,-1.6522194625346787,0
MYO10,-0.80460981867623,0
PROCR,-0.9861020933674798,0
RBPMS,-1.2302620330472784,0
SLC38A4,0.8275188326459082,1
RIPPLY2,-0.7138362422747386,0
PKDCC,-1.165878679071187,0
LINC01106,-1.519105829036854,0
SRGN,-2.273020535733986,0
OLFML2A,-2.0224900471613783,0
PPAP2B,-1.1164159413772579,0
SATB1,0.16937007842015817,1
RCAN2,-0.8626584113995013,0
DPY19L2P1,-1.0506829173802021,0
LSAMP,-1.109952389286307,0
EPB41L4B,-0.8584522135251555,0
GBGT1,-1.6550938561431652,0
GAB3,0.34800138098881206,1
CT62,-1.2147822085133912,0
LINC00839,-0.5156541563507888,0
DACH2,0.0,0
CYB5B,-0.5904363774076291,0
SORBS1,-0.4953465800531598,0
LRAT,1.0033710713705257,1
ANKRD34A,-0.6100902894691984,0
FST,-0.42136939409640606,0
ZNF827,-1.1621375630326014,0
F2R,-1.2753795705052209,0
EPHB6,-2.6547406108980627,0
EMP1,-1.5118459168091203,0
ONECUT3,-1.1407714395072475,0
ALX1,0.07442182730058367,1
NPTX1,-0.23137630107490637,0
KYNU,-0.32396009013577426,0
OCIAD2,-1.5161494179688946,0
FAM102A,-0.6344507816410676,0
MAP3K5,-1.0979671854143644,0
LGALS8,-0.19935007918041947,0
HES7,0.5507761966999327,1
IRAK3,-0.9128393104242427,0
AKT3,-0.9398347448832167,0
MEG3,-0.49897210965396965,0
BTG1,0.5025523262712017,1
WBP1L,-0.49332496629283895,0
AP1S3,-0.27995489811075736,0
ARSJ,-0.5437126434968533,0
NDRG1,0.06488274002813554,1
FOS,1.5552489100961653,1
SLAIN1,0.27804383634740715,1
DUSP5,-0.4468755740761452,0
LOC100506178,-1.9513083443545653,0
PARM1,-0.05756815110874691,0
NEK6,-0.8549440136687565,0
LOC440028,-1.5400365663675246,0
SMARCA2,-0.7338230551267504,0
DOCK5,0.19301949521449302,1
KCNK3,-2.772712322838791,0
TMEM171,-1.1047712785376174,0
GADD45G,0.020449199247033256,1
AOX1,-1.6113794919179192,0
TM4SF1-AS1,-1.3548577433087807,0
PCNXL2,-1.7324885815558924,0
NTN4,-1.216925186992226,0
PLOD2,0.3020104028013204,1
EPS8L1,-1.685793869189089,0
ZNF488,0.16766735084073758,1
THSD4,-0.7826835218962227,0
PKHD1L1,-0.00032883582016940416,0
OTUB2,-1.4841514802901266,0
OBFC1,-0.09878358396923659,0
ZNF469,-2.895603023688596,0
ANKRD20A5P,-0.0009647447001750464,0
C11orf91,-1.7739357303909984,0
ST3GAL5,-1.5591889656981635,0
KDR,0.03025045384100178,1
LRRC34,-0.843877735788251,0
LPAR1,-3.082268373372376,0
STARD13,-0.2741070204399083,0
GLIS3,0.12892325468817045,1
CALD1,-0.9062874100923644,0
SCARA5,-2.8747108063084976,0
GALNT2,0.11880836729435451,1
ARMCX2,-0.19572362134485077,0
IFT46,-0.71669184362925,0
CDCP1,-0.9640495989109343,0
BZW2,-0.07426439129084983,0
LIN7A,0.1951452855081361,1
TSPAN6,-0.7820190352042626,0
ZNF804A,-1.0184347682181332,0
