gene,otx_log2FC,reversed
PNMA3,-2.397892404246167,1
SCUBE1,-0.02063118448524648,1
CRISPLD2,-0.558516288924082,1
ARHGAP44,-0.8576693597217053,1
NEURL1,-1.7979000148529227,1
ADCY1,-0.7594603858686977,1
SHE,-2.646827138185605,1
PCDH20,-3.0139841760459443,1
EMILIN3,-3.045347122161758,1
BIK,-0.38003921640100646,1
NCCRP1,-1.960480928756824,1
MGAT4A,0.32604000556391455,0
NBEAP1,1.305987536810126,0
LGI2,-1.9980241462445532,1
EIF2S3,-0.4809916472412734,1
SMKR1,-1.866001502442355,1
GGT1,-2.4570767997523886,1
KCNC3,0.8625387605094925,0
PLD2,-0.6117218333764729,1
PRR5,-1.645742172774276,1
FGF2,-0.814811757656539,1
CD207,-1.0005273928254421,1
LOC283683,-0.1338432343090048,1
ACADSB,0.39201546505109164,0
CLYBL,0.22058058182434692,0
SV2B,-1.6192928878895974,1
REPS2,-0.5905062879207286,1
COL5A3,-0.48027371820465703,1
TNNC2,1.4239883012880858,0
CCDC69,-0.15583949889477378,1
MAP3K8,-0.6972371304466645,1
GP1BA,-2.1648942017573933,1
ANKRD34B,-1.2847703029770057,1
DTX4,-2.5333702878394453,1
DOCK11,-1.0277927019730937,1
RASSF2,-1.2957649673811087,1
ATP8A1,0.819401486550495,0
VSTM2L,-1.677200378714061,1
GCH1,0.10319362628430007,0
TMEM56,-0.5377127275933082,1
ZMYND15,-2.138449523359051,1
DLX5,-1.3899230840694368,1
SSPO,-1.879337000720482,1
MAATS1,-1.195211541525948,1
OSBPL6,-0.028310041432741073,1
UNC5B,0.09399394644430892,0
MGC45922,-2.25078724049164,1
C7orf31,-2.4005940885388153,1
SNTB2,-0.6252579536120972,1
FAM171A1,-1.5587087515561588,1
ALX4,-2.4103570018277205,1
FGD4,-0.5622941411781408,1
RTN4RL1,-2.2301865503452314,1
SFRP5,-2.540610482898521,1
HRH3,-2.74378877606397,1
ASIC4,-1.398491856532912,1
EPHA5,-0.7271194886487686,1
CDK6,-0.3866607416720065,1
MCOLN3,-0.5204025084724222,1
IRF8,0.18062586938177638,0
GPR146,0.787712179923366,0
ADAM33,-1.0420999432461073,1
HOTTIP,-0.9592364286687314,1
RFTN1,-3.0714876221197396,1
