gene,log2FC,p,fdr
WNT7B,-2.393824961744114,5.9534527830416944e-05,0.010499636352285388
LAMC2,-1.9868863525384732,5.96389438807909e-05,0.010499636352285388
TMEM156,-3.2179872915623116,5.974912399889902e-05,0.010499636352285388
ARHGEF39,-1.2662914081140784,6.000302680190894e-05,0.010499636352285388
BCAT1,-2.0178844286241864,6.0281198320958594e-05,0.010499636352285388
SLC25A43,-1.4377421354340623,6.129780970053087e-05,0.010597324542378132
VEGFB,-2.0484326023795845,6.181084534907909e-05,0.010597324542378132
MMADHC,-0.6285277905040108,6.254345107644826e-05,0.010597324542378132
IRF2BP2,-1.3748589551058235,6.259386901454293e-05,0.010597324542378132
ZNF689,-1.8981280679737207,6.28434354354435e-05,0.010597324542378132
CX3CL1,-3.57950184410839,6.33409511320844e-05,0.010613618235581863
BRSK1,-3.110422726485398,6.477635952704142e-05,0.010785874958983784
CTDSPL,-1.387436463493514,6.55245658549345e-05,0.010842268006308694
TPBG,-1.3011860260180033,6.656599254967492e-05,0.010942918172281962
ZNF853,-3.307267441607496,6.695949929781598e-05,0.010942918172281962
DENND1A,-0.8401233132007988,6.758464673602531e-05,0.010977322222921903
SYNGAP1,-1.6538884069167947,6.843705396368482e-05,0.011000851774213921
DNAJA4,1.4248340271530084,6.856054930104994e-05,0.011000851774213921
PROC,-1.1147922734378097,7.024560463875026e-05,0.011079857356598955
LAMB1,-1.4843618044325986,7.060080620284147e-05,0.011079857356598955
TRIB2,-3.2073746348759498,7.072356761896325e-05,0.011079857356598955
ITPKB,-3.1447683648801448,7.07269459212549e-05,0.011079857356598955
EFEMP2,-1.150564192089793,7.276231151206284e-05,0.011190791839173092
TRIM14,-1.6326891199847813,7.283025674865298e-05,0.011190791839173092
KRT80,-3.3113326987959457,7.353064886944106e-05,0.011190791839173092
FADS2,-1.4004778643156097,7.353784113285127e-05,0.011190791839173092
CTDNEP1,-0.8862603110483711,7.354854693167585e-05,0.011190791839173092
AIMP1,-0.8860734823691949,7.458312464385162e-05,0.011223270280049004
HAGLR,-1.150448295932616,7.524663211933111e-05,0.011223270280049004
FAM213A,-0.9296385737210251,7.53577447475403e-05,0.011223270280049004
C5orf28,-1.1092329615303775,7.56702555829308e-05,0.011223270280049004
WNT10A,-3.440254700387535,7.629648286448165e-05,0.011223270280049004
ST6GALNAC6,-1.2700174289319488,7.630552031761363e-05,0.011223270280049004
HHLA3,0.9551605869651283,7.867383328393821e-05,0.011478584081517673
FAXC,-0.8009485884196836,7.890849113640101e-05,0.011478584081517673
CRABP2,-2.05674332109413,7.956299900804543e-05,0.01151054862698362
NQO1,1.5090535436007873,8.192090717477241e-05,0.011696838809929442
SGK1,-1.4493239373014966,8.281841431521462e-05,0.011696838809929442
PSME2,-0.6968967305854896,8.370174894220466e-05,0.011696838809929442
TBKBP1,-2.580558274106104,8.378229748617983e-05,0.011696838809929442
HIST1H1C,2.3967915346431266,8.386391296924473e-05,0.011696838809929442
E2F2,-2.8728826464823305,8.533061985875844e-05,0.011696838809929442
CYB561,-1.3446097375457278,8.614939856833176e-05,0.011696838809929442
RAB27A,-2.5593341688105875,8.663866967546582e-05,0.011696838809929442
OPTN,-1.1787108172532452,8.739770087391579e-05,0.011696838809929442
TAF9,1.5258007885352072,8.771077938923768e-05,0.011696838809929442
ARHGDIG,-3.320204510044022,8.80711018935196e-05,0.011696838809929442
ARHGEF10L,-2.6434639378127107,8.843642256753804e-05,0.011696838809929442
HAX1,-0.9037249465131385,8.856102864508277e-05,0.011696838809929442
SLC27A3,-1.8397503363867465,8.871815977526611e-05,0.011696838809929442
S100A16,-2.4764898149828243,8.876459486473315e-05,0.011696838809929442
MFAP2,-2.928347309955224,8.91073664372126e-05,0.011696838809929442
MGAT5B,-2.451079352320292,8.930378554222999e-05,0.011696838809929442
MUC3A,-2.042625741923053,8.946339188106877e-05,0.011696838809929442
MMP2,-2.2105263926696272,8.954591415719574e-05,0.011696838809929442
TRIB1,-0.962902584940811,8.968680938302841e-05,0.011696838809929442
TADA3,-1.372816315444192,9.033511649148461e-05,0.011723638279961054
LRRTM4,-4.297005917565972,9.081007735324189e-05,0.011727789258180873
LGMN,0.7179868370498301,9.155584430931472e-05,0.01176670377713159
F2RL1,-2.6270928131077316,9.478070697207783e-05,0.012076400162350526
IL32,-3.0414188676482032,9.487785585529403e-05,0.012076400162350526
KRT19,-2.845935330362927,9.555548186689331e-05,0.012076437069235073
PKI55,-1.053274535899713,9.58078186362162e-05,0.012076437069235073
PIGP,-0.8433951957961536,9.65520465577552e-05,0.012076437069235073
NSMCE1,-1.1666104033381792,9.727338471008545e-05,0.012076437069235073
TNNT1,-2.3414034409672855,9.81394727463414e-05,0.012076437069235073
FHL2,-1.3278333973601235,9.875140548250988e-05,0.012076437069235073
SCAMP5,-1.845842277829921,9.933697413483447e-05,0.012076437069235073
MRPS35,-0.6135920134426183,9.951042370593637e-05,0.012076437069235073
DAPK2,-2.3347021760338547,9.959341208236063e-05,0.012076437069235073
SCMH1,-1.7511438403058754,9.9815053202218e-05,0.012076437069235073
TNFSF12,-3.321264467574994,9.989574006279438e-05,0.012076437069235073
BIVM,-1.3047628419628614,0.0001010589890354731,0.012145104121713197
PLAU,-1.7702680431564346,0.00010165471965506807,0.012145104121713197
C2CD4C,-2.7006793729534015,0.00010185620358636407,0.012145104121713197
B3GNT7,-4.156005820043154,0.00010234997414434545,0.012145104121713197
CD74,-1.847515457083282,0.00010275744374933923,0.012145104121713197
CIB2,-1.4505959782132702,0.00010579282191678781,0.012415564769484513
ALDH1B1,-0.708189652007496,0.00010617847029815708,0.012415564769484513
LRRC42,-0.8372490015218172,0.00010675260563199636,0.012415564769484513
PTK2B,-1.672099926754795,0.00010692157761822357,0.012415564769484513
IMPDH2,1.543942345054985,0.00010856635645599106,0.012496386896412866
