gene,log2FC,p,fdr
PARD6G,1.5710942761289362,0.0007201297540363027,0.07035215955022552
SYT3,4.925546321728167,0.0007332564306593161,0.07126058723159363
C8orf48,3.963221670066386,0.0007348117210283309,0.07126058723159363
PODXL,2.591382781142169,0.0007426535273794271,0.07141530627456742
DAPP1,2.7321352615384016,0.0007427845305828228,0.07141530627456742
JUN,-2.185717545320669,0.0007448848033681085,0.07141530627456742
ZNF618,2.679637243635012,0.0007471969721645015,0.07141530627456742
DTX2P1-UPK3BP1-PMS2P11,-1.2366971248357634,0.0007530780772115064,0.07143200858052905
SLC15A3,1.2279994127559606,0.0007549071341018114,0.07143200858052905
ARMCX6,-3.662750210066412,0.0007554660019848208,0.07143200858052905
SFRP1,-4.030525999957288,0.0007589507851850448,0.07150612824830627
CCDC181,-3.1233949875474147,0.0007715899148279388,0.07150818295765801
FLT1,5.0216111120058295,0.0007716639435755621,0.07150818295765801
FLVCR2,-2.2996734901263114,0.0007728402820272988,0.07150818295765801
TRPA1,-8.330785464771644,0.0007738325997240081,0.07150818295765801
ATP6V0A4,-5.253023844713731,0.0007753164738487119,0.07150818295765801
KCNK1,2.6589073996688715,0.000775451601237902,0.07150818295765801
FOXL1,-2.777375617551109,0.0007778793840153166,0.07150818295765801
NT5E,-3.943552934619129,0.0007857508709831773,0.07151657962869429
NKX6-2,-4.580071536854452,0.0007877952877094034,0.07151657962869429
CORO1A,0.9193675119407168,0.0007888362115308139,0.07151657962869429
CACNA1H,1.6319173994225071,0.0007917636437465655,0.07151657962869429
IL34,1.1859858420006058,0.0007938238686958912,0.07151657962869429
GABRD,3.1657749840355,0.0007941784480013643,0.07151657962869429
SGK223,-2.3820411201526674,0.0008034873890909312,0.07178203443501922
FGFBP3,-2.0761846173261675,0.0008035479983831196,0.07178203443501922
KCNK6,-1.2594000396397167,0.0008059357891552892,0.07178203443501922
ALPPL2,-5.192584001447571,0.0008129912224159935,0.07178203443501922
SLC7A5,1.2963497241738704,0.0008136527614853495,0.07178203443501922
ROR2,1.1706174777619989,0.0008160020238219958,0.07178203443501922
NTNG1,4.16778237233163,0.0008161054717635803,0.07178203443501922
TP73,1.5915303283065283,0.0008203979598451548,0.0719206489632466
SHROOM2,5.2540810309178525,0.0008343734046567191,0.07261953010971
LOC100507639,2.5581372209376347,0.000837022981990079,0.07261953010971
CACNG2,-5.568509288744262,0.0008390778257872973,0.07261953010971
ZFP36L1,1.0461234808918913,0.0008416591578277885,0.07261953010971
TENM3,2.745051399445031,0.0008455249927636087,0.07261953010971
GRHL3,-4.006157511181746,0.0008459907208870277,0.07261953010971
HLA-DQB1,4.632726634996163,0.0008475707196940658,0.07261953010971
ITPR1,-1.7406461775562452,0.0008506917893757405,0.07265182297975074
GRIN2D,-2.9976163088310885,0.0008600394038372565,0.07304911239700435
BLACAT1,3.1621193496764675,0.0008632096541995137,0.07304911239700435
ST3GAL1,-2.581239036211456,0.0008663147467152213,0.07304911239700435
IGFBP7,1.397125808121193,0.0008689401093345169,0.07304911239700435
FOXF2,-1.6770946861845033,0.0008708089563263423,0.07304911239700435
RAB9B,1.3608549847596318,0.0008732473170154193,0.07304911239700435
ASS1,1.9479071154857124,0.0008786491824210946,0.07304911239700435
SLC4A11,-3.077047208570555,0.0008811208808820955,0.07304911239700435
HMOX1,2.1363031916134307,0.0008826556913299114,0.07304911239700435
TUB,3.200475673247526,0.0008829354472914596,0.07304911239700435
FADS2,-1.3320814737481186,0.000891267318415201,0.0731554337195713
TSPAN13,-3.2268862838344425,0.0008928986250185079,0.0731554337195713
LRRC16A,1.9457177088628725,0.000893866694192483,0.0731554337195713
NNT,-1.048670909849621,0.000896845411381706,0.0731554337195713
LOC286297,-5.5753167028482835,0.0008980364856982313,0.0731554337195713
DFNA5,2.4110223563774236,0.0009101747047952824,0.07391679542777638
PLEKHG4,-1.1990028596501174,0.0009273526150578876,0.07494812673189472
FZD3,2.4068645715347783,0.0009285358099362216,0.07494812673189472
STK32B,-1.4470449437691961,0.0009337188106160939,0.07513740276918264
CECR2,1.0256629218865392,0.0009506836743290197,0.07627075841775999
ARHGAP8,1.4976178206103068,0.0009565273891469437,0.07633553269125197
RHBDL1,-0.7762259407682617,0.0009580855025629629,0.07633553269125197
TP53I11,-0.952302478930104,0.0009601409777596566,0.07633553269125197
IGSF1,-7.665291809107997,0.0009634002452357227,0.07636533381022682
LINC01010,4.715766918525767,0.0009709769057358808,0.07659213944515543
SMOX,-1.8268875309122805,0.0009720475487657119,0.07659213944515543
CD22,-3.445292194298211,0.0009891430668241621,0.07767404513737936
IGFBPL1,1.5491171443786484,0.000994649171192095,0.07767404513737936
PHGDH,1.4882505169768407,0.0009950693608627135,0.07767404513737936
TLR4,-6.495287470839156,0.0009985009433024525,0.07767404513737936
SIMC1,1.083410535520759,0.001000447569097124,0.07767404513737936
IGFBP1,-4.811007186097168,0.0010093617554072982,0.0779948963395784
PPAPDC1A,6.627657007993318,0.0010122249866520024,0.0779948963395784
RNF144B,-4.619791787808572,0.0010142732046654575,0.0779948963395784
STYK1,1.714992207109666,0.0010171490891476118,0.0779948963395784
TMSB15B,-1.8829165191153123,0.0010193100711423655,0.0779948963395784
PARD3B,1.9101388213458907,0.0010373034106841413,0.07845489221118207
PLAGL1,-0.9583872647082998,0.001037864146765543,0.07845489221118207
FGFR3,2.4733906003104593,0.001041569279657075,0.07845489221118207
DENND2C,3.0428739946600967,0.001045208789721585,0.07845489221118207
PLCG2,1.615174009920631,0.0010472954393325295,0.07845489221118207
BTG2,2.2574186164212025,0.0010520785039911608,0.07845489221118207
INHBA,-7.588343876235316,0.0010520942180085935,0.07845489221118207
LUZP2,7.802945801016695,0.0010521513452047852,0.07845489221118207
HR,2.009605874523664,0.0010566983745471997,0.07845489221118207
ALPP,-4.108161313747049,0.0010608316743076801,0.07845489221118207
LUZP4,-7.29595166029272,0.0010627486398082895,0.07845489221118207
