gene,jq1_log2FC,reversed
FBLN5,-1.0530293696777413,1
TET1,-0.7954701425041071,1
FCHO1,-1.3479912073148377,1
PP14571,-1.306952214872278,1
ACE,-2.003128232385982,1
QPRT,0.05316961342952986,0
TTLL9,-0.665250306519142,1
TMOD2,-1.3500773952754965,1
PARP11,-0.6058356792627668,1
KANK3,-1.3233821853624086,1
INSR,-0.3082423385536863,1
ASPHD1,-0.9588537110465385,1
RASSF8,-0.7986865656749771,1
UBA7,-2.1260043775142234,1
PCSK6,-0.14991428743360125,1
WNK2,-1.403512626412529,1
ADARB1,0.21891344558940062,0
TFCP2L1,-1.1740792369350208,1
OTOF,-4.528078083422619,1
COLCA2,-2.4817406049900854,1
CLEC11A,-2.2386141685746495,1
PLK5,-0.33332874364094695,1
B3GNT8,-2.65619219438471,1
TLR2,-1.7980043436003075,1
PDZD2,-0.6436538895006774,1
KCNG1,-0.5720617793491058,1
LY6D,-1.0564961336503609,1
JMY,-0.13864644073368027,1
GRPR,-0.8618672405069917,1
ASMTL,1.092492667638565,0
KNDC1,-1.5005335821433334,1
SCIN,-0.07310614039638441,1
RSPH1,-1.624262636222939,1
SCML2,0.2955326519796575,0
LOC171391,-1.2181511573750408,1
PTPRCAP,-2.4165502272829174,1
TNFAIP3,-1.6879381245115788,1
N4BP3,-2.0526978335238955,1
PLK2,-0.7381952201915958,1
APOO,-1.0014571725165773,1
TSPEAR-AS1,1.5346379523827833,0
C1QL4,-1.0838129032150619,1
LAMP3,-1.3903317527834282,1
GADD45A,-1.1230219547866067,1
ULBP1,-0.6767332452513726,1
SPHK1,-0.36712129915451364,1
NEBL,-0.7584892471952198,1
GABARAPL1,0.560719020852062,0
KIFAP3,-0.6162873729529537,1
ARHGDIG,-3.320204510044022,1
FGFR4,-0.925280519114164,1
HLA-B,-0.3099994733746172,1
SLC22A5,-1.3602755871782817,1
UNC13A,-3.1270175333820744,1
RNF157,-1.253689525132816,1
FTH1,-0.1071388572261327,1
CLEC19A,-0.33375311254456136,1
LOC283177,0.0,0
PPFIBP2,-1.1566399434770664,1
TMEM107,-0.09528409594966902,1
DLL1,-1.0256988644924654,1
LOC100130417,-1.1794778404068893,1
KIAA1804,-0.7921717284726197,1
ADCY5,-0.9603950299712478,1
ADAP2,-0.4623635184089485,1
RIOK3,-0.3547865936043948,1
KCNK5,-0.6362349104178238,1
SOX8,-0.44823879051447335,1
COL6A1,-1.1177356591465415,1
FEZ1,-0.5957910369393344,1
IFIH1,-1.9613302986914354,1
PDE7B,-2.326296114841323,1
TLCD2,-1.5090455646326415,1
C15orf48,-0.8324222406842647,1
ADGRA1,-1.2850290248830993,1
FOXD3,-1.8901877903563848,1
GNAI1,-0.18000804328600495,1
COL20A1,-1.9562634229084894,1
CEBPD,-1.1874280291190837,1
NID1,-0.5395077676943902,1
SLC22A17,0.19219526153429278,0
ETNK2,-1.5207336492748338,1
NRXN2,-0.6816851104187327,1
FAXC,-0.8009485884196836,1
EPB41,-0.6402533440497873,1
TMEM117,-0.5960265692095543,1
C17orf107,-1.9672519437208038,1
LOC90246,0.8777731933682338,0
DSC3,-0.8165961175430159,1
MAGOH2P,-0.13991227666046702,1
RSPO4,-3.5240094182522173,1
SEMA4D,-0.5622375686846635,1
IL10RA,-0.0866571428391314,1
PIK3R1,-0.3377271811488658,1
IL10RB,-0.3723180199016216,1
TAL1,-1.8891120878457979,1
TMEM26-AS1,0.8331236861389124,0
LOC100129697,-1.4860460430712834,1
MGAT3,-3.3990039500685123,1
TMEM169,0.0561644557708858,0
NXN,-0.17623592609611727,1
DAPK1,-0.17120067981109877,1
SLC3A2,-0.679268988013007,1
SOX17,-1.4437471076242714,1
BMP8B,0.04240512893482418,0
PGBD5,-0.2773985651796833,1
MPZL2,-2.1294720724482206,1
EN2,-1.50728521633647,1
SRR,-0.06565359978961283,1
RIMS3,-1.8323051097211884,1
FAM129A,-0.9415808361303473,1
ABCG1,-0.7847424649383914,1
ISG15,0.13979474898467537,0
DGCR5,-1.595134441942986,1
PCDHGB5,-0.7227875823926544,1
MIAT,0.4860949962470211,0
CRLF1,-0.9920387246161466,1
ZCCHC12,0.5674433086862396,0
SERPINF1,-2.669125310016816,1
FAM163A,-2.2611105126580173,1
GMNC,-1.4918472410256256,1
FOLH1,-1.723158539785998,1
CHST8,-0.8439722257180549,1
TDRP,-0.360214984169942,1
LINC01166,-0.5522480111356809,1
SPAG17,-1.2077299012566876,1
SCN5A,-1.5791958616122885,1
SLC2A5,0.3124292104152167,0
CDKL5,-0.5733356344088705,1
BEX2,-1.6359211379136012,1
NPL,0.0769073136474887,0
LMX1B,-0.6299664058703955,1
ONECUT2,-0.9063989513040696,1
HPCA,-3.3816780037260163,1
STAB1,-1.4470741347120106,1
POM121L2,-0.4342032924864978,1
ZSWIM5,0.49984347906811877,0
PAG1,0.6431173733376525,0
SKIDA1,-1.423266457843372,1
SCN1A,-1.1954412572580313,1
SYPL2,-0.3952385124289082,1
C1QTNF1,-3.3830896200924676,1
UBE2L6,-1.595776639176096,1
RTN4RL2,-2.455487778794803,1
RRAGD,-0.24580673898892869,1
SH2D3C,0.7252283153486259,0
GAS6,-0.4430382328086253,1
SRSF12,-2.22350163681099,1
GNG13,-2.4247215748822706,1
CNTN2,-0.08812524821795753,1
PTGFRN,-2.3515411430440425,1
APCDD1,-0.2783427988415088,1
SLC17A7,-0.8237323964694108,1
MMP9,-1.8349219434639537,1
SLC43A2,0.7087734127831418,0
HLA-C,-0.6130726848605335,1
SOWAHA,-2.5453390230488138,1
CPE,-0.29552400303626225,1
CCPG1,0.6664260211640549,0
LOC283856,-1.6180652797222297,1
COLGALT2,-1.256035999958625,1
RNASET2,-0.8689996169038308,1
CHRNB2,-1.4635891490737252,1
PNMA3,-1.5789337041925675,1
SCUBE1,0.18369709969069214,0
CRISPLD2,-0.3135940197198046,1
ARHGAP44,-0.7744136262986068,1
NEURL1,-0.7978945252905714,1
ADCY1,-0.5983495223976529,1
SHE,-2.3768314454169923,1
PCDH20,-2.899586843667534,1
EMILIN3,-3.0116659748416326,1
BIK,-0.15056710403255824,1
NCCRP1,-2.3256022849108327,1
MGAT4A,0.5554435787123655,0
NBEAP1,0.9668837217929995,0
LGI2,-2.1046452934583284,1
EIF2S3,-0.4219597849154635,1
SMKR1,-2.077849853091703,1
GGT1,-2.456388893143359,1
KCNC3,0.9206269867879637,0
PLD2,-0.5085441221793783,1
PRR5,-1.8072305579036234,1
FGF2,-1.0626163471553625,1
CD207,-1.0005273928254421,1
LOC283683,-0.04297841709128303,1
ACADSB,0.506959238106532,0
CLYBL,0.5041259681652921,0
SV2B,-1.9589764905658489,1
REPS2,-0.40894452550888616,1
COL5A3,-0.7328756804890695,1
TNNC2,1.5321255805183542,0
CCDC69,0.10726248667524274,0
MAP3K8,-0.4714422646625165,1
GP1BA,-1.8314942296412184,1
ANKRD34B,-1.770766781275539,1
DTX4,-1.8995893186177502,1
DOCK11,-1.0448332812452135,1
RASSF2,-1.3787882653528278,1
ATP8A1,0.6185550942708851,0
VSTM2L,-1.6216106939055432,1
GCH1,0.2984051425650591,0
TMEM56,-0.5116090370904018,1
ZMYND15,-1.998715228007419,1
DLX5,-3.025504802194417,1
SSPO,-2.141520868955686,1
MAATS1,-1.0713677316057568,1
OSBPL6,0.1120582596699542,0
UNC5B,0.2719581044830903,0
MGC45922,-1.9189286338155673,1
C7orf31,-1.8358512887907787,1
SNTB2,-0.6046540018554172,1
FAM171A1,-1.907367927060828,1
ALX4,-2.389854473704842,1
FGD4,-0.9297932336314103,1
RTN4RL1,-2.277967835455417,1
SFRP5,-3.007795196562047,1
HRH3,-2.4239765087076752,1
ASIC4,-1.644046762236925,1
EPHA5,-1.0624120148991487,1
CDK6,-0.6739709316768998,1
MCOLN3,-0.5731537375719356,1
IRF8,0.3757019918713831,0
GPR146,1.1671275399845236,0
ADAM33,-1.5480902780717036,1
HOTTIP,-2.2924714629964016,1
RFTN1,-2.5254497264814098,1
TMOD1,-1.5665362416143456,1
DOCK8,0.14098629464860668,0
IFI30,-0.5568222377833294,1
PSMB8,-1.5719796899129062,1
MCF2L,-0.9473714693054305,1
CLIC3,-1.7902246592788886,1
ECEL1,-1.1894772047866615,1
FLJ36777,0.26854940850066655,0
MED13L,-1.7684940416221338,1
LINC00622,0.5277379680602033,0
RAB20,-0.9573514751177319,1
EGLN3,0.3286791203470081,0
ERBB4,-0.2131328125995111,1
SCML1,0.1930795524062674,0
C10orf107,-1.464328632154273,1
ROPN1L,1.4731278205989522,0
SRGAP3,-0.8557752753608368,1
YJEFN3,-0.5438847897828811,1
COBLL1,-1.5425811960192384,1
TLR3,-4.108866645244821,1
ALOX15,-1.334996011907641,1
CLIP3,-0.37409851200089683,1
HPCAL4,0.8379451501209783,0
CCL22,-2.5289386561405665,1
GBP4,-2.8601001703109876,1
GP1BB,-1.4672412502691115,1
FMO5,-0.6211112693909668,1
TRIM36,1.0462522187396184,0
RAB40B,-1.1432361539615954,1
TTC9,-0.4163510079758854,1
LOC100507412,-1.2297368384101812,1
SLC40A1,0.6165224178188851,0
PDE8B,-1.6982934579199582,1
HTR1B,-2.962607164562742,1
TMEM191A,-2.3380038387049766,1
PSAPL1,-0.33383901812377614,1
FOXN3-AS1,-1.374229674493792,1
CRABP2,-2.05674332109413,1
ZNF521,-1.5381357622309833,1
FCGBP,-0.26530017672759243,1
RBFOX3,-2.1700850449050186,1
LZTS1,-0.7332831809253939,1
NXPH3,-3.7086013250733614,1
RCAN1,-1.3845014436296026,1
FAT3,-1.2484452066905005,1
WT1-AS,-1.8995967139207122,1
CCSER1,-0.9854072173974191,1
LDHD,-0.2712764994771657,1
FOXP2,-2.132021291401763,1
LY6H,-3.12131219709263,1
LOC101927497,-0.8448824706491165,1
FAM189A2,-1.1273041571067046,1
THPO,-2.4668974877356487,1
C15orf65,-0.28699397530643633,1
CDKL2,-1.4418326077835664,1
CHST1,-0.3240764416832116,1
TRABD2B,-2.2526215756439503,1
EDN2,-0.6734628778012939,1
C9orf135,-1.2816302069703296,1
EPHX2,0.09902024345395688,0
ARHGEF4,-1.0262355179805445,1
RORC,-2.7719986012411413,1
TNFAIP8L3,-0.5727263275249133,1
CNTN1,-0.6031956895199526,1
MFAP3L,-0.2743771177671519,1
PSMG3-AS1,-0.8026869788972384,1
AK4,-1.7362203585428277,1
SEC14L4,-0.7923340714804938,1
GAS1,-2.7895659765260636,1
LOC101593348,-2.0470289492921805,1
HHAT,-0.4140408877972108,1
CA4,-1.7844458043243496,1
PAIP2B,0.356570568509583,0
HS3ST3B1,-0.8766489340111936,1
MPZL3,-2.1921622387462136,1
S100P,-1.6498217609036447,1
KSR2,-2.5757247658797278,1
DHRS2,0.569880131561515,0
DPYSL5,-1.904916854826106,1
LGALSL,-1.0500976225828298,1
ADAM21P1,-1.8068324918937164,1
ABAT,-1.3488051153089309,1
RDH5,0.5091636183043213,0
OLR1,-2.3875445778595035,1
COLEC12,-0.6361615774907572,1
PADI4,-0.86204774648052,1
PAX9,-0.6389447630672986,1
TMEM27,0.2729474850611755,0
RBBP7,-0.32997859210398417,1
GXYLT2,-0.06759415314093786,1
FGF12,-1.9027041405310912,1
KTN1-AS1,-0.7823076769013735,1
GPR155,-0.5922763731905656,1
SCN4B,-2.95459291789473,1
FGFR2,-0.34125038445623357,1
CX3CR1,-0.19571525514214816,1
MX1,-1.9266922895953797,1
LOC645434,-0.9696292200492227,1
IZUMO4,0.7686375867763706,0
TNXB,-0.8060861454608448,1
MYO1D,-0.6507036585482115,1
LINC01018,-1.7204026445626315,1
TPD52L1,-0.7578868369737366,1
PLEKHA4,-2.129192216528791,1
DMBX1,-1.6249561303616824,1
SGCZ,-0.3337783593560237,1
VANGL2,-2.965444370101343,1
IL3RA,-1.3713647533698872,1
NRCAM,0.45489111527428516,0
CATIP-AS2,-0.3338641290570148,1
DDIT3,-0.3873550604821858,1
LOC729506,0.33278159636258264,0
HAL,0.9995691880693098,0
HTR6,-1.5545883011043675,1
LOC400997,0.5287036905538012,0
TMTC1,-0.14155789822764842,1
SLC12A3,-1.5289729668501408,1
JPH1,-0.7739187915654112,1
KHDC1L,0.3327918616551364,0
RASAL1,-2.2942697957276943,1
SDK2,-2.1933638103132305,1
PRODH,-0.1591116436014408,1
KCNA7,-2.7337829399656983,1
DSC1,-1.275042687716582,1
NLRC5,-0.49316105435142266,1
TMEM255A,-0.8575353366029712,1
ABCB1,1.7735180058058906,0
KCNH3,-2.757754806944714,1
ZDBF2,0.11906961257270332,0
ATP1B2,0.7947773058099719,0
PI3,2.719594330262581,0
PLCB4,-0.32697564644351207,1
FER1L4,-0.9230777395748921,1
GOLT1A,-0.6166742269897332,1
COL9A3,-1.638384486906622,1
LYPD6,-0.7544413898016549,1
LOC553103,-1.7836441564407002,1
RBP1,-1.9024238871917145,1
DRC1,-1.6772004214764262,1
COL4A4,-1.7894003029210168,1
COBL,-0.9694098591698372,1
AP3B2,0.6836849122209436,0
PPM1E,0.157007084042049,0
MAN1C1,-1.4739048282126515,1
GPC3,-0.5215660124694397,1
ZCWPW1,-1.927196411022221,1
MLC1,-1.9189173422695944,1
SMTNL2,-0.3203668203300678,1
RNF150,-2.3657341121677886,1
HSPB7,-3.607714407217518,1
NXPH2,-0.11175177076182852,1
B3GAT1,-3.1464038285283866,1
NOS2,-0.39166457168257196,1
TLR5,0.6547572499851231,0
PELI2,1.061514965922897,0
POLA1,-0.5029265604691631,1
SMO,-1.1142522174891747,1
GGT6,-0.6886948430870876,1
HRH2,-2.028151057081948,1
ADRA2B,-2.419460286411209,1
ARRDC4,0.5682131661992109,0
APOL3,-3.093485846332855,1
CADM4,-0.6786233656695417,1
MIR99AHG,-1.9211212080911495,1
CD83,-0.606680806842034,1
TMEM63C,-2.2062356865279895,1
MAP1A,0.5679695712908597,0
DRGX,-1.5280973681399361,1
TRIM67,-0.8618541938211737,1
MED15P9,0.7829819978384362,0
PDHA1,-0.7479473239105587,1
XYLT1,0.2720957069745591,0
LINC01534,0.4608336553903989,0
BTN3A3,-1.4256967750311698,1
ASIC3,-0.7192138407100162,1
CPM,0.2724766627817914,0
KLK4,-0.3350463818654701,1
ST8SIA2,-3.4051103275993144,1
MYCL,0.020513453265684767,0
C8orf4,-0.8619877163718576,1
EMID1,-2.5494628776449444,1
LOC100130476,-2.4293209747348428,1
FLT4,-1.5582171937210316,1
IDNK,-0.8428503948157324,1
SAMD15,-0.518794112306125,1
LCN15,-0.5286259273186211,1
GSTA4,0.4545008748988959,0
MMD2,-1.2472140954843465,1
MED14OS,-0.08909774086978972,1
OCA2,-1.600103937792305,1
