gene,log2FC,p,fdr
HIST2H2BE,1.838988855400232,6.423932698293622e-05,0.0073064138465097715
NFIX,-1.365706847529916,6.444967017803688e-05,0.0073064138465097715
WSB2,-0.7354692264140521,6.502723794425684e-05,0.0073064138465097715
THBS1,-3.6405801589880977,6.508465983954088e-05,0.0073064138465097715
ELFN2,-3.532522363885116,6.509115213425169e-05,0.0073064138465097715
ZFPM1,-1.0909890495893535,6.513673821692395e-05,0.0073064138465097715
TLN2,1.1470552212362986,6.58635638532654e-05,0.0073064138465097715
SYTL2,-1.7571655501442365,6.62906337189244e-05,0.0073064138465097715
GRASP,-2.1224253380239992,6.63899949385182e-05,0.0073064138465097715
CMTM4,-0.7989694591362095,6.657432653736205e-05,0.0073064138465097715
MYL9,-2.3370381379228746,6.763968471611355e-05,0.0073064138465097715
ZNF507,-0.7436247927790713,6.783483272431324e-05,0.0073064138465097715
KRR1,-1.073372499615381,6.791837158014291e-05,0.0073064138465097715
CDC42EP4,-0.6059011042307283,6.808896390616305e-05,0.0073064138465097715
AFMID,0.907977582236974,6.822931014651183e-05,0.0073064138465097715
IRF2BP2,-1.156602368618298,6.84299943052569e-05,0.0073064138465097715
B4GALNT4,-1.6900797864827712,6.844979537168209e-05,0.0073064138465097715
CITED2,-1.2140750038568218,6.868397469021404e-05,0.0073064138465097715
MMP2,-2.2179929511024694,6.871754665839219e-05,0.0073064138465097715
CREBBP,-0.7366871188532222,6.9411428630023e-05,0.007323576042981948
NMNAT2,-2.2671088671594637,6.943220346698655e-05,0.007323576042981948
IGF2BP1,-0.5733516380283934,7.05715747796242e-05,0.0073791644156047985
MZT2A,-2.0528191742226616,7.057592149436956e-05,0.0073791644156047985
UFC1,-1.5158998814564768,7.094227680753575e-05,0.0073791644156047985
HCN2,-1.0351196897797301,7.107410485285076e-05,0.0073791644156047985
CUX1,-0.988934879421798,7.165226252036182e-05,0.007410131446197576
LRP1,-2.171068344660073,7.238863282891007e-05,0.007428188136658392
TXNDC15,-1.090437499679867,7.257541838047768e-05,0.007428188136658392
AKNA,-1.3814841335152073,7.292153951581618e-05,0.007428188136658392
SOX9,-0.7535779612380296,7.29491563940012e-05,0.007428188136658392
TFEB,-2.5198404536783006,7.453360435188071e-05,0.007458208710809535
NGFR,1.297395838269284,7.457499056360481e-05,0.007458208710809535
MICAL2,-1.688295979642966,7.471021407807217e-05,0.007458208710809535
LACE1,-1.1553225032518615,7.477998554605839e-05,0.007458208710809535
OAS2,-2.4036417785470583,7.48680919663855e-05,0.007458208710809535
LOC100419583,-0.8919880556981195,7.493422160813357e-05,0.007458208710809535
