gene,spearman_rho,p_nominal,detection_frac,p_fdr_bh
Cenpv,-0.12427993547020774,0.23015736718842494,0.316,0.6667067570160237
Rps26,-0.12422355901377508,0.23037050553077135,0.979,0.6667442681702157
Zgrf1,-0.12414015738673705,0.23068606906198294,0.105,0.6667715326799628
Ttc39c,-0.12412721975539445,0.2307350477459187,0.484,0.6667715326799628
Rhot1,-0.12402791510467395,0.231111232768427,0.611,0.6675353431050557
Cbx8,-0.12401919768504198,0.23114427647749586,0.179,0.6675353431050557
Zfp51,-0.12400248315426579,0.23120764277394357,0.168,0.6675353431050557
Tmem17,-0.12399876376130296,0.2312217449799223,0.116,0.6675353431050557
Clasp1,-0.1239657996316245,0.23134675588105705,0.716,0.667557953867299
Zfp326,-0.12394176948743613,0.23143791590777552,0.653,0.667557953867299
Apobec3,-0.12388456779389169,0.23165501549299441,0.653,0.6678520719953822
Mtrfr,-0.1238623442793738,0.23173939953506376,0.253,0.6678520719953822
Mfsd1,-0.12385259390362745,0.23177642908343113,0.642,0.6678520719953822
Apaf1,-0.12382888997880144,0.23186646804399794,0.589,0.6679467803948456
Bcl11b,-0.12380974345702328,0.2319392136199063,0.189,0.6679467803948456
Gm43672,-0.12372597832094699,0.2322576595190622,0.147,0.6685764843457398
Eif3a,-0.12369417139722697,0.23237865830385335,0.905,0.6685764843457398
Zc3h18,-0.12367854676893184,0.23243811308365347,0.632,0.6685764843457398
Crtap,-0.12366616411286216,0.2324852390645416,0.905,0.6685764843457398
Mllt3,-0.12360302420433365,0.23272564099097956,0.547,0.6686615868338578
Gm17251,-0.12352228803087742,0.2330332924697863,0.284,0.6692252434070136
Mark3,-0.12338241614290586,0.23356695662951485,0.705,0.6701759512826916
Blcap,-0.12336518125368523,0.23363277318426848,0.463,0.6701759512826916
Ift74,-0.12336239382866232,0.2336434190113556,0.6,0.6701759512826916
Zfp956,-0.12334472319651943,0.23371091515172834,0.137,0.6702094478688326
Suds3,-0.12330442472941477,0.23386489321295942,0.705,0.6704908722082149
Orc2,-0.12322602772694344,0.23416464613777274,0.558,0.6710298105432547
Zfp707,-0.12319237330411312,0.2342934067974493,0.263,0.671238591127887
Vps13d,-0.12315987080056813,0.23441780708678475,0.758,0.6714347828461413
Plpp6,-0.12309804461541751,0.23465456805976853,0.221,0.6714728931245075
Zfp275,-0.12309719655358332,0.23465781683750916,0.379,0.6714728931245075
Arf5,-0.12308338529652678,0.23471072977792606,0.937,0.6714728931245075
Brwd3,-0.12306829102977694,0.23476856762160608,0.537,0.6714783686118686
Prkx,-0.12305281812311045,0.23482786663355118,0.4,0.6714880196877945
Twnk,-0.12302334803409615,0.2349408378898538,0.211,0.6716115178813669
Srp19,-0.1230123714290846,0.23498292551175332,0.853,0.6716115178813669
Rpl11,-0.12297204609331988,0.2351375901233924,0.968,0.671638779618744
Lgr5,-0.12288602261733256,0.2354677632048914,0.221,0.671832119930984
Gm35546,-0.12286388179540747,0.23555279573982846,0.126,0.671832119930984
Zfp623,-0.12284734034777597,0.23561633764853712,0.2,0.671832119930984
Gtf3c4,-0.12281420576744691,0.23574365589527485,0.442,0.671832119930984
Rplp0,-0.12274807879252385,0.23599788917416326,0.968,0.671832119930984
Ccdc102a,-0.1227349253434606,0.23604848196650544,0.316,0.671832119930984
Zeb1,-0.12272121971843242,0.23610120665051731,0.726,0.671832119930984
Elp1,-0.12270045271583259,0.23618111162756036,0.526,0.671832119930984
Cyb5b,-0.12269293316323629,0.23621004917025373,0.726,0.671832119930984
Wdpcp,-0.12267721389344637,0.23627054970557265,0.547,0.671832119930984
Sgtb,-0.12266983266618203,0.2362989623909594,0.211,0.671832119930984
Tars,-0.12266903180607212,0.23630204529853024,0.653,0.671832119930984
Galnt12,-0.12264897118449393,0.23637927770481065,0.389,0.671832119930984
Arfgef2,-0.12258872509622036,0.23661132773159177,0.463,0.67226507621231
Cmtr2,-0.12255835225665582,0.23672837493517157,0.221,0.6724385138033132
Ticam1,-0.12252095114513267,0.23687256216271663,0.337,0.6726221194727932
Mir155hg,-0.12236039490144558,0.2374922256985722,0.232,0.6735396907154828
Gpi1,-0.12233666165245291,0.2375839191704869,0.884,0.6735396907154828
Rpn2,-0.12232709196784305,0.23762089863169697,0.895,0.6735396907154828
Gm43713,-0.12227008814924248,0.23784125736005596,0.179,0.6737356669922739
Prim2,-0.12225987886077337,0.23788073822479466,0.442,0.6737356669922739
Nfyb,-0.12222165643888278,0.23802859054990302,0.547,0.6737356669922739
Rmi2,-0.12221125947244987,0.2380688192323077,0.158,0.6737356669922739
Rflnb,-0.12218800126142279,0.23815882865557816,0.274,0.6737356669922739
Gpr88,-0.12215953932936069,0.23826900866847742,0.147,0.6737356669922739
Mrpl28,-0.12215176685200109,0.23829910313869113,0.747,0.6737356669922739
