sample,treatment,pseudotime,pseudotime_rank,window,iCAF,myCAF,pc1_siggenes
GSM9850799,RMC6236,-0.22605551598607143,17,W1,0.5328031022475467,0.7588586182336181,-2.975675308842407
GSM9850799,RMC6236,-0.11679427825261168,31,W2,0.5580459599556821,0.6748402382082938,0.2004144890437082
GSM9850799,RMC6236,-0.2592295821462488,11,W1,0.6275695433681545,0.8867991255144033,-5.708351765771173
GSM9850799,RMC6236,-0.08278183364988922,39,W2,0.4564686213991769,0.5392504550490661,2.054434338319055
GSM9850800,Veh,0.37335292022792016,94,W4,0.8595060739157961,0.486153153687876,-0.9419356525429994
GSM9850800,Veh,-0.18457185818296917,21,W1,0.6774592434314658,0.862031101614435,0.15293984727448356
GSM9850800,Veh,-0.15335895457423243,27,W2,0.6730225150364039,0.8263814696106363,-8.725786255666575
GSM9850800,Veh,-0.009664846470401944,58,W3,0.4789861308958532,0.4886509773662551,0.7494260140399543
GSM9850800,Veh,-0.08262602880658443,40,W2,0.4823866334283,0.5650126622348844,-0.7839901324072436
GSM9850800,Veh,-0.2435056584362139,14,W1,0.3879837369420703,0.6314893953782842,1.3227507760081572
GSM9850800,Veh,-0.3436584955682177,8,W1,0.397940408357075,0.7415989039252927,-0.40796204207600245
GSM9850800,Veh,-0.2505292418486863,12,W1,0.4901768755935423,0.7407061174422286,-5.439342722986272
GSM9850800,Veh,-0.273699647831592,10,W1,0.4802770853118076,0.7539767331433996,-2.1781481683120507
GSM9850800,Veh,-0.3636880737575183,5,W1,0.4018429487179487,0.765531022475467,-0.23471274421549124
GSM9850800,Veh,-0.31431277698638804,9,W1,0.4707457858499524,0.7850585628363405,-8.797124294490288
GSM9850800,Veh,-0.1685115938588161,23,W1,0.4885297958214625,0.6570413896802786,-9.619136849831852
GSM9850800,Veh,-0.3735037788857235,4,W1,0.4161621557454891,0.7896659346312126,-7.997332705800517
GSM9850800,Veh,-0.1178725466919911,30,W2,0.4475209718265274,0.5653935185185185,-1.4317871608847403
GSM9850800,Veh,0.0,61,W3,0.4881439933523266,0.4881439933523266,2.5928057090335237
GSM9850800,Veh,0.0,63,W3,0.4933078110161443,0.4933078110161443,0.30407860086877897
GSM9850800,Veh,0.08694404874960432,82,W4,0.4815754590060145,0.3946314102564102,1.2748215633211035
GSM9850800,Veh,-0.10007369816397599,32,W2,0.4393597657486546,0.5394334639126306,0.8941016814093988
GSM9850800,Veh,0.0,64,W3,0.4917349240265906,0.4917349240265906,4.977064145130828
GSM9850800,Veh,-0.08258151313706857,41,W2,0.4807247150997151,0.5633062282367837,2.0547345054893533
GSM9850800,Veh,0.032085905349794275,75,W4,0.635889027382083,0.6038031220322887,3.101366302479214
GSM9850800,Veh,0.01567446185501742,73,W4,0.4754125118708451,0.4597380500158277,1.3612936385353382
GSM9850800,Veh,-0.07469234726179169,47,W2,0.4120518755935423,0.486744222855334,0.6711000224861261
GSM9850800,Veh,-0.09250850743906314,35,W2,0.5022999762583096,0.5948084836973727,-3.531924451173208
GSM9850800,Veh,-0.17178596866096874,22,W1,0.4563598053181386,0.6281457739791073,-1.1921569517717368
GSM9850800,Veh,-0.23857678458372905,15,W1,0.4233143399810066,0.6618911245647356,-0.7519378601719523
GSM9850800,Veh,-0.0876884496676163,37,W2,0.3961301044634377,0.483818554131054,-1.0818167409187474
GSM9850800,Veh,-0.2350105848369739,16,W1,0.393755935422602,0.6287665202595759,-0.6387107361598231
GSM9850800,Veh,0.0,66,W3,0.4897020417853751,0.4897020417853751,2.0065123136866907
GSM9850800,Veh,-0.060590772396328096,51,W3,0.4799283792339348,0.5405191516302629,0.18486185510645087
GSM9850800,Veh,-0.35119895536562196,7,W1,0.4735923156062045,0.8247912709718265,-2.9528601744922103
GSM9850800,Veh,-0.08082067109844887,42,W2,0.4583184947768281,0.539139165875277,2.631457612895619
GSM9850800,Veh,0.0,65,W3,0.4614197530864197,0.4614197530864197,0.5932747794304162
GSM9850800,Veh,-0.009390333175055388,59,W3,0.4735131766381766,0.482903509813232,1.034200881554683
GSM9850800,Veh,-0.1662041983222538,24,W2,0.4582715060145615,0.6244757043368153,2.1586119367357766
GSM9850800,Veh,-0.22188340851535293,18,W1,0.5693405745489079,0.7912239830642608,1.2338000343382551
GSM9850800,Veh,-0.3944335628363406,2,W1,0.4536764996834441,0.8481100625197847,-5.805718754689584
GSM9850800,Veh,-0.580301321620766,0,W1,0.3765135327635328,0.9568148543842988,-8.76757686861017
GSM9850800,Veh,-0.05475180041152272,52,W3,0.6513137068692624,0.7060655072807851,0.778171126101154
GSM9850800,Veh,-0.47568207898069015,1,W1,0.3451003086419753,0.8207823876226654,0.7250990936189987
GSM9850800,Veh,-0.21667507518201956,20,W1,0.547104997625831,0.7637800728078505,-2.6643349432113865
GSM9850800,Veh,-0.3809082185818297,3,W1,0.4499124525166192,0.8308206710984489,-6.139920089026328
