gene	GSM9850794	GSM9850795	GSM9850796	GSM9850797	GSM9850798	GSM9850799	GSM9850800
Pcdhb22	158	26	95	99	25	11	12
Pcdhb3	17	0	9	10	1	0	0
Pcdhb4	16	0	6	12	2	0	0
Pcdhb5	95	6	56	36	13	0	3
Pcdhb6	9	1	5	4	1	0	0
Pcdhb7	147	15	53	31	25	2	2
Pcdhb8	14	2	5	2	4	4	0
Pcdhb9	195	19	93	55	16	7	3
Pcdhga1	26	4	12	9	5	0	0
Pcdhga10	67	11	60	103	21	3	1
Pcdhga11	69	4	30	45	14	2	1
Pcdhga12	105	33	97	104	45	9	10
Pcdhga2	23	7	26	12	2	4	0
Pcdhga3	106	4	29	37	15	0	2
Pcdhga4	21	4	16	15	1	0	5
Pcdhga5	116	9	79	69	38	5	3
Pcdhga6	72	13	31	39	16	5	5
Pcdhga7	73	9	58	73	17	1	2
Pcdhga8	15	2	18	23	6	0	2
Pcdhga9	39	5	35	52	18	2	2
Pcdhgb1	18	5	15	26	4	2	0
Pcdhgb2	26	3	17	23	3	2	2
Pcdhgb4	68	10	35	47	12	4	3
Pcdhgb5	47	3	29	59	19	3	4
Pcdhgb6	44	12	40	53	10	0	6
Pcdhgb7	21	3	16	20	6	0	0
Pcdhgc3	138	13	119	170	50	8	6
Pcdhgc4	111	15	71	77	15	1	3
Pcdhgc5	63	14	55	59	17	1	3
Pced1a	297	38	158	197	29	18	18
Pced1b	29	21	265	283	162	86	35
Pcf11	946	135	1510	1662	429	69	57
Pcgf1	145	25	66	105	26	5	10
Pcgf2	397	82	270	270	56	25	33
Pcgf3	839	129	527	678	173	81	76
Pcgf5	463	125	1134	858	213	84	73
Pcgf6	238	40	173	171	35	22	23
Pcid2	115	41	231	240	51	36	15
Pcif1	1173	159	703	652	126	79	94
Pck1	0	0	1	0	0	0	0
Pck2	1021	103	348	517	72	33	48
Pclaf	1576	159	231	861	19	56	185
Pclo	39	5	12	6	5	5	3
Pcm1	2394	275	1663	2315	661	219	218
Pcmt1	1966	179	1008	1261	282	134	129
Pcmtd1	1745	401	1076	1326	494	138	121
Pcmtd2	433	129	379	470	208	47	49
Pcna	1050	276	441	620	104	140	166
Pcnp	2292	346	1443	1887	399	185	198
Pcnt	562	88	392	465	150	52	57
Pcnx	588	84	974	1036	184	101	90
Pcnx2	9	44	67	68	32	33	37
Pcnx3	533	77	245	338	67	37	39
Pcnx4	357	41	345	537	89	74	53
Pcolce	13890	1047	2706	6678	915	364	253
Pcolce2	1116	609	790	1966	1166	29	12
Pcp2	1	0	2	0	0	0	0
Pcp4	2	0	0	1	1	0	0
Pcp4l1	11	1	15	14	1	0	0
Pcsk1	0	1	0	1	0	0	0
Pcsk1n	25	0	3	1	0	0	1
Pcsk2	6	0	8	11	5	1	0
Pcsk2os1	4	1	1	0	0	0	0
Pcsk2os2	0	0	5	1	0	0	0
Pcsk4	24	4	12	10	6	2	1
Pcsk5	4108	206	5480	12506	2244	28	142
Pcsk6	295	324	170	1487	821	17	5
Pcsk7	425	54	295	412	92	45	22
Pcsk9	141	6	10	83	0	1	4
Pctp	77	14	34	66	5	12	6
Pcx	159	17	107	98	19	10	5
Pcyox1	1175	292	894	736	158	109	122
Pcyox1l	212	21	87	126	26	33	32
Pcyt1a	1421	170	1021	1172	265	73	65
Pcyt1b	45	1	8	10	0	0	3
Pcyt2	414	54	209	256	34	69	38
Pdap1	10897	411	2965	4176	580	266	410
Pdc	1	0	0	0	0	0	0
Pdcd1	9	12	26	85	4	36	1
Pdcd10	2380	203	1468	1540	315	199	220
Pdcd11	1111	112	531	740	198	94	68
Pdcd1lg2	25	6	46	60	6	8	0
Pdcd2	367	66	204	282	64	41	52
Pdcd2l	240	35	190	175	50	40	36
Pdcd4	1770	305	1690	1796	527	228	119
