gene,dataset,celltype,value
ERBB2,PAAD_GSE154763,Malignant,0.01
ERBB2,PAAD_GSE148673,Malignant,0.34
ERBB2,PAAD_GSE141017,Malignant,0.39
ERBB2,PAAD_GSE111672,Malignant,0.63
ERBB2,PAAD_CRA001160,Malignant,0.79
ERBB2,PAAD_GSE165399,Acinar,0.12
ERBB2,PAAD_GSE162708,Acinar,0.02
ERBB2,PAAD_GSE158356,Acinar,0.0
ERBB2,PAAD_GSE154778,Acinar,0.54
ERBB2,PAAD_GSE154763,Acinar,0.01
ERBB2,PAAD_GSE148673,Acinar,0.34
ERBB2,PAAD_GSE141017,Acinar,0.39
ERBB2,PAAD_GSE111672,Acinar,0.05
ERBB2,PAAD_CRA001160,Acinar,0.23
ERBB2,PAAD_GSE165399,Ductal,0.2
ERBB2,PAAD_GSE162708,Ductal,0.02
ERBB2,PAAD_GSE158356,Ductal,0.0
ERBB2,PAAD_GSE154778,Ductal,0.54
ERBB2,PAAD_GSE154763,Ductal,0.01
ERBB2,PAAD_GSE148673,Ductal,0.34
ERBB2,PAAD_GSE141017,Ductal,0.39
ERBB2,PAAD_GSE111672,Ductal,0.5
ERBB2,PAAD_CRA001160,Ductal,0.55
ERBB2,PAAD_GSE165399,Stellate,0.06
ERBB2,PAAD_GSE162708,Stellate,0.02
ERBB2,PAAD_GSE158356,Stellate,0.0
ERBB2,PAAD_GSE154778,Stellate,0.54
ERBB2,PAAD_GSE154763,Stellate,0.01
ERBB2,PAAD_GSE148673,Stellate,0.34
ERBB2,PAAD_GSE141017,Stellate,0.39
ERBB2,PAAD_GSE111672,Stellate,0.5
ERBB2,PAAD_CRA001160,Stellate,0.2
ERBB3,PAAD_GSE165399,Tprolif,0.01
ERBB3,PAAD_GSE162708,Tprolif,0.0
ERBB3,PAAD_GSE158356,Tprolif,0.0
ERBB3,PAAD_GSE154778,Tprolif,0.0
ERBB3,PAAD_GSE148673,Tprolif,0.0
ERBB3,PAAD_GSE141017,Tprolif,0.0
ERBB3,PAAD_GSE111672,Tprolif,1.51
ERBB3,PAAD_CRA001160,Tprolif,0.0
ERBB3,PAAD_GSE165399,CD8T,0.01
ERBB3,PAAD_GSE162708,CD8T,0.01
ERBB3,PAAD_GSE158356,CD8T,0.02
ERBB3,PAAD_GSE154778,CD8T,0.14
ERBB3,PAAD_GSE148673,CD8T,0.03
ERBB3,PAAD_GSE141017,CD8T,0.01
ERBB3,PAAD_GSE111672,CD8T,0.15
ERBB3,PAAD_CRA001160,CD8T,0.0
ERBB3,PAAD_GSE165399,NK,0.01
ERBB3,PAAD_GSE162708,NK,0.01
ERBB3,PAAD_GSE158356,NK,0.02
ERBB3,PAAD_GSE154778,NK,0.14
ERBB3,PAAD_GSE148673,NK,0.03
ERBB3,PAAD_GSE141017,NK,0.01
ERBB3,PAAD_GSE111672,NK,0.15
ERBB3,PAAD_CRA001160,NK,0.0
ERBB3,PAAD_GSE165399,B,0.0
ERBB3,PAAD_GSE162708,B,0.0
ERBB3,PAAD_GSE158356,B,0.0
ERBB3,PAAD_GSE154778,B,0.14
ERBB3,PAAD_GSE148673,B,0.0
ERBB3,PAAD_GSE141017,B,0.01
ERBB3,PAAD_GSE111672,B,0.15
ERBB3,PAAD_CRA001160,B,0.09
ERBB3,PAAD_GSE165399,Plasma,0.01
ERBB3,PAAD_GSE162708,Plasma,0.0
ERBB3,PAAD_GSE158356,Plasma,0.0
ERBB3,PAAD_GSE154778,Plasma,0.95
ERBB3,PAAD_GSE148673,Plasma,0.0
ERBB3,PAAD_GSE141017,Plasma,0.01
ERBB3,PAAD_GSE111672,Plasma,0.15
ERBB3,PAAD_CRA001160,Plasma,0.18
ERBB3,PAAD_GSE165399,Mono/Macro,0.01
ERBB3,PAAD_GSE162708,Mono/Macro,0.0
ERBB3,PAAD_GSE158356,Mono/Macro,0.01
ERBB3,PAAD_GSE154778,Mono/Macro,0.08
ERBB3,PAAD_GSE148673,Mono/Macro,0.02
ERBB3,PAAD_GSE141017,Mono/Macro,0.02
ERBB3,PAAD_GSE111672,Mono/Macro,0.06
ERBB3,PAAD_CRA001160,Mono/Macro,0.11
ERBB3,PAAD_GSE165399,Mast,0.01
ERBB3,PAAD_GSE162708,Mast,0.0
ERBB3,PAAD_GSE158356,Mast,0.01
ERBB3,PAAD_GSE154778,Mast,0.08
ERBB3,PAAD_GSE148673,Mast,0.02
ERBB3,PAAD_GSE141017,Mast,0.02
ERBB3,PAAD_GSE111672,Mast,2.13
ERBB3,PAAD_CRA001160,Mast,0.11
ERBB3,PAAD_GSE165399,Endothelial,0.03
ERBB3,PAAD_GSE162708,Endothelial,0.01
ERBB3,PAAD_GSE158356,Endothelial,0.01
ERBB3,PAAD_GSE154778,Endothelial,0.08
ERBB3,PAAD_GSE148673,Endothelial,0.02
ERBB3,PAAD_GSE141017,Endothelial,0.02
ERBB3,PAAD_GSE111672,Endothelial,0.04
ERBB3,PAAD_CRA001160,Endothelial,0.13
ERBB3,PAAD_GSE165399,Fibroblasts,0.01
ERBB3,PAAD_GSE162708,Fibroblasts,0.01
ERBB3,PAAD_GSE158356,Fibroblasts,0.04
ERBB3,PAAD_GSE154778,Fibroblasts,0.07
ERBB3,PAAD_GSE148673,Fibroblasts,0.02
ERBB3,PAAD_GSE141017,Fibroblasts,0.03
ERBB3,PAAD_GSE111672,Fibroblasts,0.06
ERBB3,PAAD_CRA001160,Fibroblasts,0.13
ERBB3,PAAD_GSE165399,Epithelial,0.01
ERBB3,PAAD_GSE162708,Epithelial,0.01
ERBB3,PAAD_GSE158356,Epithelial,0.81
ERBB3,PAAD_GSE154778,Epithelial,1.28
ERBB3,PAAD_GSE148673,Epithelial,1.54
ERBB3,PAAD_GSE141017,Epithelial,0.03
ERBB3,PAAD_GSE111672,Epithelial,0.06
ERBB3,PAAD_CRA001160,Epithelial,0.13
ERBB3,PAAD_GSE165399,Malignant,0.39
ERBB3,PAAD_GSE162708,Malignant,0.13
ERBB3,PAAD_GSE158356,Malignant,0.81
ERBB3,PAAD_GSE154778,Malignant,1.36
ERBB3,PAAD_GSE148673,Malignant,1.19
ERBB3,PAAD_GSE141017,Malignant,0.88
ERBB3,PAAD_GSE111672,Malignant,2.11
ERBB3,PAAD_CRA001160,Malignant,1.56
ERBB3,PAAD_GSE165399,Acinar,0.47
ERBB3,PAAD_GSE162708,Acinar,0.13
ERBB3,PAAD_GSE158356,Acinar,0.16
ERBB3,PAAD_GSE154778,Acinar,1.36
ERBB3,PAAD_GSE148673,Acinar,1.19
ERBB3,PAAD_GSE141017,Acinar,0.88
ERBB3,PAAD_GSE111672,Acinar,0.21
ERBB3,PAAD_CRA001160,Acinar,0.47
ERBB3,PAAD_GSE165399,Ductal,0.5
ERBB3,PAAD_GSE162708,Ductal,0.13
ERBB3,PAAD_GSE158356,Ductal,0.16
ERBB3,PAAD_GSE154778,Ductal,1.36
ERBB3,PAAD_GSE148673,Ductal,1.19
ERBB3,PAAD_GSE141017,Ductal,0.88
ERBB3,PAAD_GSE111672,Ductal,2.04
ERBB3,PAAD_CRA001160,Ductal,0.8
ERBB3,PAAD_GSE165399,Stellate,0.01
ERBB3,PAAD_GSE162708,Stellate,0.13
ERBB3,PAAD_GSE158356,Stellate,0.16
ERBB3,PAAD_GSE154778,Stellate,1.36
ERBB3,PAAD_GSE148673,Stellate,1.19
ERBB3,PAAD_GSE141017,Stellate,0.88
ERBB3,PAAD_GSE111672,Stellate,2.04
ERBB3,PAAD_CRA001160,Stellate,0.11
